,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
0,AUS,960.0,1.6042069650452487e-09,1.4328280852340087e-09,3.1065594255591826e-08,2.7746828747025635e-08,3.2618875685008733e-06,2.9134171717624318e-06,2.644773610990103e-07,2.3622300560236605e-07,2.1273179319078298e-09,1.9000546347668376e-09,2.1745917213350108e-07,1.942278122547788e-07,1.9571324973552033e-08,1.7480502639854905e-08
1,AUS,976.0,2.3694077537052318e-08,2.0807180320913692e-08,3.356403581820154e-07,2.947457838250188e-07,2.3581750961874476e-06,2.070853966689789e-06,1.6531021687660415e-06,1.4516874463933087e-06,5.040578167083412e-09,4.426431823739736e-09,3.6211941374665896e-07,3.1799861918016013e-07,1.1405880408447328e-07,1.0016182736222483e-07
2,AUS,1016.0,9.921834131106961e-08,8.712953334321772e-08,6.452297175324412e-07,5.666146344003191e-07,4.0420109876590684e-06,3.549530524993782e-06,3.25347016992427e-06,2.8570658802169904e-06,inf,inf,9.841459802427276e-06,8.642371850514462e-06,2.569268496079497e-06,2.256227650440089e-06
3,AUS,1049.0,4.151201764041584e-09,3.645417447370006e-09,8.396309771717946e-08,7.373299558811149e-08,2.969330202985039e-07,2.607545656471722e-07,5.17198896177985e-07,4.5418314672619426e-07,4.206551120895471e-07,3.6940230133349397e-07,2.1758023665194157e-06,1.9107016136013023e-06,4.206551120895471e-07,3.6940230133349397e-07
4,AUS,1052.0,1.7961454668037512e-08,1.577302283743043e-08,2.044974467928997e-07,1.7958138458576464e-07,1.467707438588208e-06,1.2888812947157439e-06,1.9910760414596027e-06,1.748482428257258e-06,1.6053050109558525e-08,1.4097139160953446e-08,2.8859416391158315e-06,2.534317193265449e-06,5.464868122402902e-08,4.7990260973458536e-08
5,AUS,1053.0,3.3570672446055017e-09,2.948040640059012e-09,2.7513155688710253e-08,2.4160940248344665e-08,5.679878704688081e-07,4.987839692199522e-07,3.278860156747017e-07,2.8793623394625716e-07,9.082626829253498e-07,7.975995432964928e-07,8.411940092334858e-07,7.387025474033685e-07,3.7730505474012636e-07,3.3133403474743125e-07
6,AUS,2511.0,8.792049579417802e-11,7.180710962900763e-11,2.4626560198249797e-09,2.0113195358688793e-09,8.273417574286065e-09,6.757129806843715e-09,9.641036529211827e-09,7.87410217307059e-09,inf,inf,inf,inf,7.183747827085277e-10,5.867166274565258e-10
7,AUS,2514.0,5.074428636326231e-11,4.1444267357894273e-11,1.9662064089788847e-09,1.6058553570185105e-09,6.834562458255672e-09,5.581976890293686e-09,8.38084353071807e-09,6.844867567656307e-09,3.367575367743771e-09,2.75039228829662e-09,inf,inf,1.9496488971148145e-09,1.5923323774348849e-09
8,AUS,2555.0,8.176138485946227e-11,7.325185623417511e-11,9.281022201824251e-10,8.315075694997083e-10,3.385612319937895e-09,3.0332459186085e-09,1.2140326725819976e-08,1.0876790669388467e-08,1.3354359527045506e-09,1.1964469851581936e-09,inf,inf,7.284196105661182e-11,6.526074464499236e-11
9,AUS,2731.0,1.3438562846901589e-08,1.1801202219084103e-08,2.291350287238586e-07,2.012171122948131e-07,1.5559238928816544e-06,1.3663494159745268e-06,1.0851683773642906e-06,9.529509672222129e-07,inf,inf,1.462024507206972e-06,1.2838907742864995e-06,5.823465873920949e-07,5.113932135229887e-07
