,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
0,AUS,960.0,1.6042069650452487e-09,1.4328280852340087e-09
1,AUS,976.0,2.3694077537052318e-08,2.0807180320913692e-08
2,AUS,1016.0,9.921834131106961e-08,8.712953334321772e-08
3,AUS,1049.0,4.151201764041584e-09,3.645417447370006e-09
4,AUS,1052.0,1.7961454668037512e-08,1.577302283743043e-08
5,AUS,1053.0,3.3570672446055017e-09,2.948040640059012e-09
6,AUS,2511.0,8.792049579417802e-11,7.180710962900763e-11
7,AUS,2514.0,5.074428636326231e-11,4.1444267357894273e-11
8,AUS,2555.0,8.176138485946227e-11,7.325185623417511e-11
9,AUS,2731.0,1.3438562846901589e-08,1.1801202219084103e-08
10,AUS,2735.0,9.095196891921585e-09,7.987033953463184e-09
11,AUS,2805.0,5.229507011798211e-10,4.2710835500853076e-10
12,AUS,2903.0,8.556513822576695e-11,7.66597240830104e-11
13,AUS,2905.0,5.339943483354594e-11,4.36128008217328e-11
14,AUS,2907.0,1.5913591972777626e-10,1.1196668753661115e-10
16,AUS,2913.0,5.33533586105361e-11,4.780046914894052e-11
17,AUS,2918.0,3.8456784235713635e-10,2.976162082464471e-10
18,AUS,2919.0,1.4909993609866134e-10,1.1538811295163327e-10
20,NZL,960.0,2.551730420862886e-09,2.2791267539816553e-09
21,NZL,976.0,1.125804982825874e-08,9.886363901363047e-09
22,NZL,1016.0,2.118181686762698e-08,1.8601014637521767e-08
23,NZL,1049.0,1.207178328568139e-09,1.060095170311547e-09
24,NZL,1052.0,8.558376067511434e-10,7.515619623191979e-10
25,NZL,1053.0,3.726997162375348e-10,3.272898127889092e-10
26,NZL,2511.0,2.4389771628875806e-10,1.9919803560720116e-10
27,NZL,2514.0,8.069537620136038e-10,6.590615388486927e-10
28,NZL,2731.0,7.88796108454681e-09,6.926888307589024e-09
29,NZL,2735.0,1.0387231107863784e-09,9.121646131120647e-10
30,NZL,2903.0,2.8468700817978668e-09,2.5505746790821074e-09
31,NZL,2905.0,1.0875165652472735e-10,8.882049688036893e-11
32,NZL,2907.0,3.603838215348208e-10,2.5356300958366275e-10
33,NZL,2913.0,1.87960923124253e-08,1.6839840154379665e-08
34,NZL,2918.0,1.6858566933758464e-09,1.304680790921316e-09
35,NZL,2919.0,3.4907062973109085e-10,2.7014499338789786e-10
37,BGD,946.0,1.2662787694227488e-07,1.131365893156554e-07
38,BGD,960.0,2.2739234149473344e-08,2.020781857847671e-08
39,BGD,976.0,5.062128138298444e-08,4.5227948700977835e-08
40,BGD,1016.0,1.706584816917515e-08,1.524760504765841e-08
41,BGD,1052.0,8.546548794577655e-09,7.635975619168986e-09
42,BGD,1053.0,5.920490500883914e-09,5.289704909536556e-09
43,BGD,2511.0,4.770884240948384e-11,4.2740384888593766e-11
44,BGD,2514.0,4.0912030995244306e-11,3.665140177375638e-11
45,BGD,2555.0,4.9054717067083505e-11,4.188078691195617e-11
46,BGD,2731.0,4.0504448948792243e-08,3.618899184628556e-08
47,BGD,2735.0,2.5939921911664116e-09,2.3176210192151947e-09
48,BGD,2805.0,3.6409613436881674e-10,3.2617871516997767e-10
49,BGD,2903.0,8.433225844007125e-11,7.199921957969264e-11
50,BGD,2905.0,5.876465780538624e-12,5.2644834072717695e-12
51,BGD,2907.0,7.179207948757186e-11,5.485367784928935e-11
53,BGD,2913.0,5.998285136408001e-11,5.121075334947257e-11
54,BGD,2918.0,2.9931959219083954e-10,2.0797761865906636e-10
55,BGD,2919.0,2.2337284399610523e-10,1.5520718783350949e-10
57,IND,946.0,4.570506455019753e-09,4.0835519338434874e-09
58,IND,960.0,4.301331866342237e-09,3.822491708801797e-09
59,IND,976.0,2.4375219678006787e-08,2.177821570400873e-08
60,IND,1016.0,1.1119320786236641e-08,9.934637298191166e-09
61,IND,1049.0,3.689798962521848e-09,3.2966774770334877e-09
62,IND,1052.0,1.2618119268281864e-09,1.1273749604459862e-09
63,IND,1053.0,1.694976561896277e-09,1.5143890256514284e-09
64,IND,2511.0,1.2482119850139534e-10,1.118221653842663e-10
65,IND,2514.0,1.4454456051682588e-10,1.294915122236061e-10
66,IND,2555.0,4.210275529192881e-10,3.594550388245345e-10
67,IND,2731.0,5.632187596804466e-08,5.032118601963726e-08
68,IND,2735.0,1.9764779307520982e-07,1.7658984525571188e-07
69,IND,2805.0,4.994752421103048e-10,4.474592761419496e-10
70,IND,2903.0,1.1262478047929885e-10,9.61541461101284e-11
71,IND,2905.0,1.2600047123185035e-10,1.1287862720230133e-10
72,IND,2907.0,5.717818836772029e-11,4.36877430924935e-11
74,IND,2913.0,1.0087129087553461e-10,8.611952715811233e-11
75,IND,2918.0,2.0071267749899995e-10,1.3946211938680006e-10
76,IND,2919.0,1.128239346321052e-10,7.839397708911328e-11
78,IRN,946.0,5.007857945301585e-09,4.474306775016113e-09
79,IRN,960.0,1.5523613592206489e-09,1.3795467564634287e-09
80,IRN,976.0,1.0070480659967563e-08,8.997543527934095e-09
81,IRN,1016.0,1.520584993568127e-08,1.358577622013593e-08
83,IRN,1052.0,1.1674121072796636e-09,1.0430327612902514e-09
84,IRN,1053.0,1.859109378246339e-09,1.6610346733952029e-09
85,IRN,2511.0,9.218658115126796e-11,8.258615721905553e-11
86,IRN,2514.0,1.0372231054270413e-10,9.292054156501979e-11
87,IRN,2555.0,1.7770249825828867e-10,1.5171467512696284e-10
88,IRN,2731.0,4.3839805624288116e-09,3.916899030735766e-09
89,IRN,2735.0,3.889529342183106e-08,3.475128024284601e-08
90,IRN,2805.0,7.050295562083926e-10,6.31606911179029e-10
91,IRN,2903.0,1.0818784209343925e-10,9.236608081916876e-11
92,IRN,2905.0,3.5107129581003344e-11,3.145102993166613e-11
93,IRN,2907.0,1.4393425868844728e-10,1.0997485396615577e-10
95,IRN,2913.0,1.5928569906713414e-10,1.3599121184675992e-10
96,IRN,2918.0,2.699270936134265e-10,1.875546927295373e-10
97,IRN,2919.0,1.8291422197017578e-10,1.2709513609111916e-10
99,KAZ,960.0,2.809549389550296e-09,2.512793089153449e-09
100,KAZ,976.0,1.6926064411249077e-08,1.4828168428190487e-08
101,KAZ,1016.0,7.903669335439592e-08,6.924051407291908e-08
102,KAZ,1049.0,4.673419765895737e-09,4.09417415298744e-09
103,KAZ,1052.0,8.368224127898208e-09,7.331027095161873e-09
104,KAZ,1053.0,1.5877915631704868e-08,1.3909932135142087e-08
105,KAZ,2511.0,4.200750076935853e-11,3.548109959632754e-11
106,KAZ,2514.0,7.866229741766508e-11,6.644110594620203e-11
107,KAZ,2555.0,1.4672829190887043e-10,1.2421094715288227e-10
108,KAZ,2731.0,8.609866502820945e-09,7.542719178311513e-09
109,KAZ,2735.0,1.890793149458051e-08,1.6564393589569066e-08
110,KAZ,2805.0,8.673298031818333e-10,7.325790529296398e-10
