,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
0,AUS,960.0,2.623343935366317e-09,2.3430897320129435e-09,5.08012619722411e-08,4.537411724621477e-08,5.334132787805334e-06,4.764282561582997e-06,4.324972378244263e-07,3.8629316705621657e-07,3.4787821751596807e-09,3.1071407315823814e-09,3.556088539922959e-07,3.1761883875355797e-07,3.2004796011469067e-08,2.8585694730557904e-08
1,AUS,976.0,5.038463473892952e-08,4.424574785732304e-08,7.137275896982719e-07,6.267666945733546e-07,5.01457761696115e-06,4.403599192505586e-06,3.515264471856333e-06,3.0869630449734556e-06,1.0718614785672538e-08,9.412653870450943e-09,7.700343836964804e-07,6.762130431041703e-07,2.4254209405572177e-07,2.1299065467046e-07
2,AUS,1016.0,1.7793547405567448e-07,1.5625573472417496e-07,1.1571374218401171e-06,1.0161512704874765e-06,7.248832541681681e-06,6.3656314779512504e-06,5.834684891541148e-06,5.123784222625225e-06,inf,inf,1.7649406271110375e-05,1.5498994559538556e-05,4.607656223489096e-06,4.046257287248032e-06
3,AUS,1049.0,5.410791808625803e-09,4.751538466308482e-09,1.0943983626386116e-07,9.610563668800745e-08,3.8703075525229276e-07,3.3987475147241845e-07,6.741314226426783e-07,5.919949425752281e-07,5.48293569940748e-07,4.814892312525929e-07,2.8360013054364176e-06,2.4904616126238637e-06,5.48293569940748e-07,4.814892312525929e-07
4,AUS,1052.0,2.3409812702225292e-08,2.055755044324105e-08,2.6652890960017796e-07,2.3405490566641105e-07,1.9129161236675527e-06,1.6798455505048397e-06,2.5950413297761143e-06,2.2788603103217765e-06,2.0922520102613853e-08,1.8373310708646684e-08,3.761351989016616e-06,3.3030671467800274e-06,7.122560034932376e-08,6.254744071028658e-08
5,AUS,1053.0,4.400822512649058e-09,3.864624290092416e-09,3.6067348708447776e-08,3.1672886488211777e-08,7.445825850785019e-07,6.53862303240687e-07,4.2982998379992126e-07,3.7745930248918244e-07,1.1906532014930262e-06,1.0455834722578796e-06,1.1027320168486139e-06,9.683746448593925e-07,4.946140360175471e-07,4.3435003623071335e-07
6,AUS,2511.0,4.826116148449927e-10,3.941623033670563e-10,1.3517967429548743e-08,1.1040499264782792e-08,4.5414295947106585e-08,3.709111622200409e-08,5.292140548245851e-08,4.322238098038232e-08,inf,inf,inf,inf,3.943290023733477e-09,3.220594429950338e-09
7,AUS,2514.0,2.6199490131462243e-10,2.139785090041076e-10,1.0151607028166775e-08,8.29109927324189e-09,3.5287135658206556e-08,2.8819983279374224e-08,4.32706503752004e-08,3.5340341374829076e-08,1.73869343599704e-08,1.4200391961181687e-08,inf,inf,1.0066119892614438e-08,8.221279556473605e-09
8,AUS,2555.0,4.676751213961242e-10,4.190006176594816e-10,5.3087446994434715e-09,4.756223297538331e-09,1.9365702470044758e-08,1.7350166654440617e-08,6.944266887169026e-08,6.221524262890203e-08,7.63869364947003e-09,6.843676755104867e-09,inf,inf,4.166560172438196e-10,3.7329145936935626e-10
9,AUS,2731.0,2.5502184256198775e-08,2.2394986492557393e-08,4.348265352952166e-07,3.818470718709094e-07,2.9526563410788067e-06,2.5929033455066103e-06,2.0593097806529936e-06,1.8084025375397107e-06,inf,inf,2.774464709853022e-06,2.436422663918788e-06,1.1051114722483777e-06,9.704641863277632e-07
10,AUS,2735.0,1.8622454606369462e-08,1.6353486241733813e-08,1.157917967891932e-07,1.0168367144522603e-07,6.483734308719199e-07,5.693753162723822e-07,8.540642693783527e-07,7.500046891808885e-07,inf,inf,8.25595487549046e-07,7.250045567168657e-07,inf,inf
11,AUS,2805.0,1.1120103057033519e-09,9.082096865918091e-10,5.6458306339898036e-08,4.61110660966679e-08,5.031846558327309e-07,4.109648770589396e-07,3.470239157308502e-07,2.834240655228738e-07,inf,inf,inf,inf,4.472752562940149e-08,3.653021183847054e-08
12,AUS,2903.0,5.221793484786016e-10,4.678321756530644e-10,7.981287660932949e-09,7.150614404430494e-09,4.002260204642471e-08,3.585714572058176e-08,5.732893068569741e-08,5.136227322795515e-08,6.737789606975387e-08,6.036536642262622e-08,inf,inf,5.539831092007767e-10,4.963258773208055e-10
13,AUS,2905.0,3.2363946377021593e-10,2.643253344433487e-10,9.075027753206074e-09,7.411827093039514e-09,3.1539372247423785e-08,2.575908086213055e-08,4.0945315801170975e-08,3.344117607584871e-08,1.28778220780401e-07,1.0517674785472648e-07,inf,inf,5.223575503892773e-09,4.266239122917515e-09
14,AUS,2907.0,9.630620850606769e-10,6.776023398162116e-10,3.688933748311649e-08,2.5955025932990345e-08,9.34291411531927e-08,6.573595371936363e-08,2.487933434700586e-07,1.7504889277765378e-07,1.892171316128648e-09,1.3313157386536642e-09,inf,inf,5.050801665847033e-09,3.5537013447164648e-09
15,AUS,2908.0,2.5668369944972676e-10,2.299686763142145e-10,8.128317330923396e-07,7.28234157938981e-07,1.3738001230810058e-07,1.2308183047950854e-07,3.251326932369358e-06,2.9129366317559236e-06,inf,inf,inf,inf,9.753980579089616e-08,8.73880969994015e-08
16,AUS,2913.0,3.256385178938701e-10,2.9174684281672906e-10,4.71991392459175e-07,4.228676615937521e-07,1.377250124900425e-06,1.23390923870867e-06,2.4059258623921755e-06,2.1555228753153788e-06,3.087898389337836e-07,2.7665173390875917e-07,inf,inf,5.231647592164573e-08,4.687150272073169e-08
17,AUS,2918.0,2.3471831104198042e-09,1.8164798520374274e-09,6.052501743457943e-08,4.684017800999934e-08,1.4325681663518142e-07,1.1086613563706376e-07,3.1393828710089057e-07,2.4295615061745876e-07,4.2700931157963164e-10,3.3046156802740624e-10,inf,inf,2.633599483054079e-09,2.038136853518983e-09
18,AUS,2919.0,9.100211022076264e-10,7.042633315444203e-10,7.275843925237075e-08,5.6307596276109197e-08,2.0395976698365905e-07,1.578440155381834e-07,5.571035092085731e-07,4.311411817358066e-07,1.0878153891689324e-08,8.418579395828234e-09,inf,inf,1.0399433789697532e-08,8.048098960717289e-09
19,AUS,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NZL,960.0,4.3752221619208406e-09,3.9078132244374185e-09,8.472652184032397e-08,7.567511094404494e-08,8.896285261419848e-06,7.945887067293834e-06,7.213204011828313e-07,6.44261090861098e-07,5.801925040808073e-09,5.18210014544962e-09,5.930856865495637e-07,5.297258066789027e-07,5.337771037543426e-08,4.767532133813651e-08
21,NZL,976.0,2.4451952200023526e-08,2.1472715189212915e-08,3.5298322460737744e-07,3.0997558749345567e-07,2.6290401756244897e-06,2.308716721282019e-06,1.7466270144407132e-06,1.5338171822057882e-06,6.3376772305381036e-09,5.565491745578231e-09,4.420974813803153e-07,3.882321225680598e-07,1.3391963748246428e-07,1.1760280775867175e-07
22,NZL,1016.0,4.230053677147001e-08,3.7146620074111286e-08,2.812437110915511e-07,2.4697684903131567e-07,1.7328218449061482e-06,1.5216940408251083e-06,1.4145754266206718e-06,1.242222911324676e-06,inf,inf,4.207168947234961e-06,3.6945655634313793e-06,1.1154069349692049e-06,9.795052451739875e-07
23,NZL,1049.0,1.5834925898234038e-09,1.390559130304303e-09,3.202806093537789e-08,2.812574738009933e-08,1.1326629348383878e-07,9.946587661470781e-08,1.972875967284541e-07,1.7324998594223955e-07,1.6046058243543827e-07,1.4090999187083606e-07,8.299685537205335e-07,7.288448065110657e-07,1.6046058243543827e-07,1.4090999187083606e-07
24,NZL,1052.0,1.1565530930522014e-09,1.015638136585646e-09,1.3167761686389498e-08,1.1563395595505851e-08,9.450690988940846e-08,8.299214487528423e-08,1.282070520908339e-07,1.1258624637718747e-07,1.0336693269154047e-09,9.077265845734211e-10,1.8582819658961628e-07,1.6318680434399254e-07,3.518874304392868e-09,3.0901330538669652e-09
25,NZL,1053.0,5.306036811724051e-10,4.659546866017523e-10,4.3550965191295676e-09,3.824469572483125e-09,9.154952508155788e-08,8.03950891815544e-08,5.173822115956573e-08,4.5434412690975055e-08,4.015436687463607e-07,3.5261940496570914e-07,1.348202596040375e-07,1.1839369767009684e-07,6.943937847566334e-08,6.097885292457122e-08
26,NZL,2511.0,1.5354405398951581e-09,1.254036913476724e-09,4.3007740737814627e-08,3.512561577548216e-08,1.444866823405821e-07,1.1800628448513376e-07,1.683707331248034e-07,1.3751305179297842e-07,inf,inf,inf,inf,1.2545672704021413e-08,1.0246399171090303e-08
27,NZL,2514.0,5.1265816226694935e-09,4.187021527527156e-09,1.9864143069206232e-07,1.6223597082481847e-07,6.904805409352852e-07,5.639346258431785e-07,8.466978551924911e-07,6.91521643062423e-07,3.402185985953392e-07,2.778659740995295e-07,inf,inf,1.9696866234467008e-07,1.6086977447867495e-07
28,NZL,2731.0,1.5114741069302512e-08,1.3273154122210336e-08,2.587418750663733e-07,2.2721664697258e-07,1.6312780540810788e-06,1.4325223917975258e-06,1.2174729771781422e-06,1.0691355142385814e-06,inf,inf,1.6435920588893433e-06,1.4433360526424134e-06,6.625002172742655e-07,5.817808885749536e-07
29,NZL,2735.0,2.162174770885254e-09,1.898734410435993e-09,1.4565944744557958e-08,1.2791223392028583e-08,8.970089420292639e-08,7.877169633250408e-08,1.2619654151909372e-07,1.1082069733068493e-07,2.766931582980783e-08,2.4298073766612073e-08,7.942422437015344e-08,6.974714064028015e-08,3.064319052372927e-08,2.6909610211171358e-08
30,NZL,2903.0,1.8248437224324327e-08,1.634918369291631e-08,2.6938991400811866e-07,2.4135245856927e-07,1.2778786274007327e-06,1.1448800880755914e-06,1.8167764982862732e-06,1.627690762465021e-06,9.808401851631243e-07,8.78756693710232e-07,inf,inf,2.2904363120555587e-08,2.0520532000848434e-08
31,NZL,2905.0,6.890558928369486e-10,5.627710761923721e-10,1.8759556721904934e-08,1.5321450748809537e-08,6.432812493759179e-08,5.253856541523315e-08,8.065097068046646e-08,6.586988666323727e-08,3.0012462742570713e-07,2.45120114817982e-07,inf,inf,8.276342357609157e-09,6.759518558577032e-09
32,NZL,2907.0,2.2961056458188126e-09,1.6155205175313455e-09,8.708817497740965e-08,6.127450353452395e-08,2.2048683586520592e-07,1.5513267337434803e-07,5.91242127681389e-07,4.159929617513532e-07,9.030072419009106e-09,6.353482599665318e-09,inf,inf,1.1912853364381654e-08,8.381782897292504e-09
33,NZL,2913.0,1.204829517226462e-07,1.0794337538957367e-07,1.91888992572726e-05,1.7191764695545376e-05,6.125043347560529e-05,5.4875635423103985e-05,8.086750521752896e-05,7.245100943914951e-05,inf,inf,inf,inf,4.034080287166411e-06,3.614222896793743e-06
34,NZL,2918.0,1.0806341404539176e-08,8.363003869805636e-09,2.281215725272485e-07,1.765427837612244e-07,4.781530601515262e-07,3.700416026766409e-07,1.0047151189857633e-06,7.775468230719366e-07,2.9283394292207644e-09,2.2662354502691203e-09,inf,inf,1.1074565807316658e-08,8.570582145785529e-09
35,NZL,2919.0,2.2375427365762923e-09,1.7316294076164255e-09,1.8357195440175e-07,1.4206593217615322e-07,5.062164930885251e-07,3.9175983176697587e-07,1.3871861504928796e-06,1.0735403140085642e-06,3.396619517122339e-08,2.6286363814139367e-08,inf,inf,1.3633315198070795e-08,1.0550792677330564e-08
36,NZL,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,BGD,946.0,1.858503885739586e-07,1.6604936917509994e-07,2.950404188255676e-06,2.6360598868291767e-06,5.43042645867263e-05,4.851853658920524e-05,3.893390782092737e-05,3.47857805560292e-05,3.980298455891442e-07,3.5562263431393617e-07,3.312708523843393e-05,2.9597633067432188e-05,2.8764037343073017e-06,2.569943647895898e-06
38,BGD,960.0,3.6056909695401216e-08,3.204292127147392e-08,6.98244896771318e-07,6.205136947247974e-07,7.331571801938315e-05,6.515394137496771e-05,5.944517467767043e-06,5.2827518172156365e-06,4.7814597639553784e-08,4.249169994695455e-08,4.887714554856827e-06,4.343596109643577e-06,4.398942982838948e-07,3.909236395119818e-07
39,BGD,976.0,7.726340391732678e-08,6.903154510052359e-08,1.2881957601397669e-06,1.1509477864778536e-06,2.1128036337378e-05,1.887699634447678e-05,1.029175138507028e-05,9.195239452070416e-06,3.825085869594494e-08,3.417550539228477e-08,2.7863275577506396e-06,2.489464438733596e-06,6.628402477181418e-07,5.922193966985691e-07
40,BGD,1016.0,3.709685949653444e-08,3.314445649020283e-08,4.826969344950066e-07,4.312690551290095e-07,4.2882564025655115e-06,3.831373590180703e-06,4.200651466623132e-06,3.7531023287565276e-06,inf,inf,1.0757083788334758e-05,9.610994041617865e-06,3.2648915484984235e-06,2.9170408854837458e-06
41,BGD,1052.0,1.710404946148885e-08,1.5281736267609233e-08,1.9473558847759558e-07,1.7398791506846222e-07,1.3976451845673744e-06,1.2487361635817829e-06,1.8960303452098632e-06,1.6940219774340544e-06,1.5286744206205662e-08,1.3658051789175752e-08,2.748178777871818e-06,2.4553801363961965e-06,5.203998027644479e-08,4.649549545251319e-08
42,BGD,1053.0,9.295540844858858e-09,8.305167964800624e-09,8.172645967251558e-08,7.30190944321597e-08,1.0745417062369858e-06,9.60057032121741e-07,1.0448361648184253e-06,9.335164020407131e-07,3.616437825444924e-07,3.2311324403668373e-07,2.484243060069248e-06,2.219564867027236e-06,3.5351129769329545e-07,3.1584721683206516e-07
43,BGD,2511.0,2.593939756946857e-10,2.3238036806295572e-10,7.2656339114178745e-09,6.508981860601356e-09,2.4409264959109285e-08,2.1867254087737216e-08,2.8444184402512792e-08,2.5481972058158034e-08,inf,inf,inf,inf,2.119438581895603e-09,1.8987176414900042e-09
