,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
0,AUS,960.0,2.623343935366317e-09,2.3430897320129435e-09
1,AUS,976.0,5.038463473892952e-08,4.424574785732304e-08
2,AUS,1016.0,1.7793547405567448e-07,1.5625573472417496e-07
3,AUS,1049.0,5.410791808625803e-09,4.751538466308482e-09
4,AUS,1052.0,2.3409812702225292e-08,2.055755044324105e-08
5,AUS,1053.0,4.400822512649058e-09,3.864624290092416e-09
6,AUS,2511.0,4.826116148449927e-10,3.941623033670563e-10
7,AUS,2514.0,2.6199490131462243e-10,2.139785090041076e-10
8,AUS,2555.0,4.676751213961242e-10,4.190006176594816e-10
9,AUS,2731.0,2.5502184256198775e-08,2.2394986492557393e-08
10,AUS,2735.0,1.8622454606369462e-08,1.6353486241733813e-08
11,AUS,2805.0,1.1120103057033519e-09,9.082096865918091e-10
12,AUS,2903.0,5.221793484786016e-10,4.678321756530644e-10
13,AUS,2905.0,3.2363946377021593e-10,2.643253344433487e-10
14,AUS,2907.0,9.630620850606769e-10,6.776023398162116e-10
16,AUS,2913.0,3.256385178938701e-10,2.9174684281672906e-10
17,AUS,2918.0,2.3471831104198042e-09,1.8164798520374274e-09
18,AUS,2919.0,9.100211022076264e-10,7.042633315444203e-10
20,NZL,960.0,4.3752221619208406e-09,3.9078132244374185e-09
21,NZL,976.0,2.4451952200023526e-08,2.1472715189212915e-08
22,NZL,1016.0,4.230053677147001e-08,3.7146620074111286e-08
23,NZL,1049.0,1.5834925898234038e-09,1.390559130304303e-09
24,NZL,1052.0,1.1565530930522014e-09,1.015638136585646e-09
25,NZL,1053.0,5.306036811724051e-10,4.659546866017523e-10
26,NZL,2511.0,1.5354405398951581e-09,1.254036913476724e-09
27,NZL,2514.0,5.1265816226694935e-09,4.187021527527156e-09
28,NZL,2731.0,1.5114741069302512e-08,1.3273154122210336e-08
29,NZL,2735.0,2.162174770885254e-09,1.898734410435993e-09
30,NZL,2903.0,1.8248437224324327e-08,1.634918369291631e-08
