,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
0,AUS,960.0,1.121339969016813e-09,1.0015462067622953e-09,2.171483683782139e-08,1.9395021194554494e-08,2.2800579879641197e-06,2.0364773326021484e-06,1.8486956007702384e-07,1.6511977790580414e-07,1.4869943067396869e-09,1.3281373611413047e-09,1.520038664934508e-07,1.357651560687706e-07,1.3680347622005118e-08,1.22188637225e-08
1,AUS,976.0,1.6585854275936623e-08,1.4565026224639583e-08,2.3494825072741077e-07,2.0632204867751315e-07,1.6507225673312131e-06,1.4495977766828522e-06,1.157171518136229e-06,1.016181212475316e-06,3.5284047169583885e-09,3.098502276617815e-09,2.5348358962266124e-07,2.2259903342611208e-07,7.984116285913129e-08,7.011327915355738e-08
2,AUS,1016.0,6.945283891774872e-08,6.09906733402524e-08,4.5166080227270883e-07,3.9663024408022335e-07,2.8294076913613477e-06,2.4846713674956474e-06,2.2774291189469887e-06,1.9999461161518934e-06,inf,inf,6.889021861699092e-06,6.049660295360123e-06,1.7984879472556481e-06,1.5793593553080622e-06
3,AUS,1049.0,2.8916117194573653e-09,2.539296428431531e-09,5.8486359170497797e-08,5.136035448821553e-08,2.0683528534471508e-07,1.8163437982192593e-07,3.602663697132919e-07,3.1637135087716047e-07,2.9301665423834633e-07,2.573153714143951e-07,1.5156034276024143e-06,1.3309416145787412e-06,2.9301665423834633e-07,2.573153714143951e-07
4,AUS,1052.0,1.255248099329178e-08,1.1023080982740655e-08,1.4291438869995701e-07,1.2550163438450097e-07,1.0257170183089854e-06,9.007431888753793e-07,1.3914766163731358e-06,1.2219384706551682e-06,1.1218779887754528e-08,9.85187862832446e-09,2.0168593380810435e-06,1.7711242762562356e-06,3.819159110724945e-08,3.3538310224083266e-08
5,AUS,1053.0,2.3373961769413253e-09,2.05260676044377e-09,1.915634696496524e-08,1.6822328911801406e-08,3.954680023512154e-07,3.472840005358126e-07,2.2829436042489312e-07,2.0047887140489886e-07,6.323882031673928e-07,5.553377360036913e-07,5.856908777766677e-07,5.1433003404147e-07,2.627029273564178e-07,2.3069508284460916e-07
6,AUS,2511.0,2.4635551853553075e-11,2.0120539093187517e-11,6.900426291485987e-10,5.635769711303562e-10,2.318233147076024e-09,1.8933653664486108e-09,2.7014435393245936e-09,2.206343931896944e-09,inf,inf,inf,inf,2.0129048465708e-10,1.6439952673701996e-10
7,AUS,2514.0,1.594929649200896e-11,1.3026233204920945e-11,6.179929057785723e-10,5.04731961920186e-10,2.148152449312825e-09,1.75445573906604e-09,2.6341597823973073e-09,2.151391419786007e-09,1.0584533126515035e-09,8.644682035992991e-10,inf,inf,6.127887599561334e-10,5.004815915574887e-10
8,AUS,2555.0,1.389943542610859e-11,1.2452815559809772e-11,1.577773774310123e-10,1.4135628681495044e-10,5.755540943894424e-10,5.156518061634451e-10,2.0638555433893965e-09,1.84905441379604e-09,2.2702411195977364e-10,2.0339598747689295e-10,inf,inf,1.2383133379624013e-11,1.1094326589648704e-11
9,AUS,2731.0,9.348560427964391e-09,8.209527560692378e-09,1.5939819507427682e-07,1.3997704627041005e-07,1.0823812560635084e-06,9.505034300521776e-07,7.548993345404582e-07,6.629220552417906e-07,inf,inf,1.0170599794412175e-06,8.93140927572523e-07,4.0511045148767853e-07,3.5575160927069077e-07
10,AUS,2735.0,6.31690129871393e-09,5.547247162765306e-09,3.927760152884985e-08,3.449200064048771e-08,2.199340019400867e-07,1.9313714281180133e-07,2.897061534829038e-07,2.544082235812162e-07,inf,inf,2.8004929090965085e-07,2.4592795754926194e-07,inf,inf
