,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
0,AUS,960.0,1.121339969016813e-09,1.0015462067622953e-09
1,AUS,976.0,1.6585854275936623e-08,1.4565026224639583e-08
2,AUS,1016.0,6.945283891774872e-08,6.09906733402524e-08
3,AUS,1049.0,2.8916117194573653e-09,2.539296428431531e-09
4,AUS,1052.0,1.255248099329178e-08,1.1023080982740655e-08
5,AUS,1053.0,2.3373961769413253e-09,2.05260676044377e-09
6,AUS,2511.0,2.4635551853553075e-11,2.0120539093187517e-11
7,AUS,2514.0,1.594929649200896e-11,1.3026233204920945e-11
8,AUS,2555.0,1.389943542610859e-11,1.2452815559809772e-11
9,AUS,2731.0,9.348560427964391e-09,8.209527560692378e-09
10,AUS,2735.0,6.31690129871393e-09,5.547247162765306e-09
11,AUS,2805.0,3.0229987790895324e-10,2.468967022736154e-10
12,AUS,2903.0,1.923654862600488e-11,1.723445483238719e-11
13,AUS,2905.0,1.1684017538903559e-11,9.542661477789949e-12
14,AUS,2907.0,3.461656585172747e-11,2.4355923030709558e-11
16,AUS,2913.0,1.2000269076438637e-11,1.0751309883873235e-11
17,AUS,2918.0,8.649722729019965e-11,6.694001415238878e-11
18,AUS,2919.0,3.353564609727133e-11,2.595316283178934e-11
20,NZL,960.0,1.78305453081961e-09,1.5925692039306311e-09
21,NZL,976.0,7.880634879781117e-09,6.920454730954131e-09
22,NZL,1016.0,1.4827271807338884e-08,1.3020710246265236e-08
23,NZL,1049.0,8.308640673128742e-10,7.296312103187906e-10
24,NZL,1052.0,5.839902261204539e-10,5.128365905588712e-10
25,NZL,1053.0,2.4514395043885495e-10,2.152754996849288e-10
26,NZL,2511.0,4.080625678891666e-11,3.3327602720197675e-11
27,NZL,2514.0,1.3382547202027217e-10,1.0929897805637393e-10
28,NZL,2731.0,5.486212699742627e-09,4.817770041645304e-09
29,NZL,2735.0,7.241679247554889e-10,6.359349744444136e-10
30,NZL,2903.0,4.5549921308765877e-10,4.080919486531373e-10
31,NZL,2905.0,1.751681903651513e-11,1.4306472382174868e-11
32,NZL,2907.0,5.786365275309872e-11,4.071237680729813e-11
33,NZL,2913.0,3.007374769988049e-09,2.6943744247007474e-09
34,NZL,2918.0,2.6973707094013545e-10,2.087489265474106e-10
35,NZL,2919.0,5.5851300756974544e-11,4.322319894206367e-11
37,BGD,946.0,8.850501883372178e-08,7.907544697073114e-08
38,BGD,960.0,1.5908585386515375e-08,1.413758287626209e-08
