,ISO3,Supply-BaU2,Energy-mod (kcal/year),EnM2030,BaU_needed2030
0,AFG,19046747043303.33,25591561978388.902,37571162577391.1,18524415534087.773
1,ALB,3339593744420.751,2656589174861.9766,2629665636208.477,-709928108212.2739
2,ARE,699782554164.9529,8236757710275.41,9973632996214.668,9273850442049.715
3,ARG,64561250845785.88,37106907895151.7,42801826299738.78,-21759424546047.1
4,ARM,1953366543894.669,2401336225568.699,2394558478984.3105,441191935089.6416
5,ATG,10964784588.79859,86859920489.07936,100663770167.3784,89698985578.57982
6,AUS,44274971250607.46,21493259576961.27,25530684408426.33,-18744286842181.133
7,AUT,12029154259674.006,7702706858683.305,7822640590016.297,-4206513669657.709
8,AZE,11439003812204.592,7927818891063.45,8943032609452.885,-2495971202751.707
9,BDI,5099684309461.695,7684161082099.042,12456227888222.18,7356543578760.484
10,BEN,14656812125404.49,8098292300609.097,12483466258017.223,-2173345867387.2676
11,BFA,17946480356016.746,13716168308274.902,21749664345414.926,3803183989398.1797
12,BGD,153946897294247.53,131461792394834.64,155066200693552.3,1119303399304.7812
13,BGR,6001403733600.846,6492796685001.608,5723973567289.559,-277430166311.2871
14,BHR,75468079089.79462,1163647845573.6475,1769274735181.178,1693806656091.3833
15,BHS,238485821318.07858,340889886353.7305,390439742499.6919,151953921181.6133
16,BIH,2273007735302.326,3248662901979.944,3035540135194.9863,762532399892.6602
17,BLR,14495491441730.396,8521654961686.917,8112122026232.406,-6383369415497.99
18,BLZ,134325066766.38568,302457381826.17395,413228422725.78674,278903355959.40106
19,BOL,8176226269240.108,8978852746740.936,11336014898813.998,3159788629573.8896
20,BRA,376447413756146.0,181500260305124.3,200818904370034.62,-175628509386111.38
21,BRB,251050450916.1851,248891456375.39844,250186821331.0606,-863629585.1244812
22,BRN,322831766257.0,348311286327.55096,414892447054.0116,92060680797.0116
23,BTN,582692346782.2051,647195916025.9585,769475362206.3859,186783015424.1808
24,BWA,478386198610.65955,1795801984501.918,2358351921710.3105,1879965723099.651
25,CAF,2684626990937.0083,3560698024751.5205,4879764599466.696,2195137608529.688
26,CAN,70242434526660.11,33771484505365.008,37726051982816.875,-32516382543843.234
27,CHE,8878037574176.045,7339210597238.07,8053137009356.495,-824900564819.5498
28,CHL,19414009176277.742,15590810679390.818,17293582523159.812,-2120426653117.9297
29,CIV,23100039604928.805,17851853136657.06,26585351551279.152,3485311946350.3477
30,CMR,26652223438016.035,17508267257528.104,26440616577615.562,-211606860400.47266
31,COD,45846854945626.66,57000575451910.37,94587277988584.69,48740423042958.03
32,COG,3047710979476.8335,3838722434260.8623,5863277222345.631,2815566242868.7974
33,COL,53895155343653.59,42273366542502.49,47250495519915.42,-6644659823738.172
34,COM,399994838950.36194,607369712503.371,863843522916.6228,463848683966.26086
35,CPR,1559313869989783.2,1181727359025186.0,1219431703006161.8,-339882166983621.5
36,CPV,528640527946.79004,435377397734.4306,532113181003.7731,3472653056.983032
37,CRI,5195364492377.292,4213873547177.6567,4795941938404.394,-399422553972.89844
38,CUB,10150158426204.324,10180438079532.14,10010869647927.482,-139288778276.8418
39,CYP,1078819298053.8065,967412150647.1476,1067660922152.9178,-11158375900.888672
40,CZE,14254176242497.918,9554510798951.248,9396114411835.797,-4858061830662.121
41,DEU,103900801361689.56,72495459134114.03,71546571829406.77,-32354229532282.797
42,DJI,42198599033.06205,757905566760.5967,954456779368.5223,912258180335.4603
43,DNK,9677545122815.012,5055842279028.665,5314783505595.604,-4362761617219.408
44,DZA,52587477779892.37,32310999475545.504,41025362904014.73,-11562114875877.64
45,ECU,18680989117914.18,13726035238485.361,17026970202438.71,-1654018915475.4688
46,EGY,104384222052926.14,75126026585592.48,99659564157822.88,-4724657895103.266
47,ESP,49428775037590.17,41096527377997.8,39959201484880.06,-9469573552710.11
48,EST,951884147223.1356,1165212570617.3323,1096599536109.2214,144715388886.08582
49,ETH,82930633931703.25,77531937693970.83,113587450406436.92,30656816474733.67
50,FIN,5679883746520.925,4834413271871.48,4998673587657.192,-681210158863.7324
51,FJI,1198382073576.7976,807295600718.7715,894719437985.4419,-303662635591.3557
52,FRA,96743113526451.86,55905704812668.03,58149328269017.625,-38593785257434.234
53,GAB,788729211543.3419,1515326575897.6013,2133560002228.6875,1344830790685.3457
54,GBR,71761857879827.9,57225733586671.74,61491168622610.69,-10270689257217.219
55,GEO,4194432340249.534,3286336148728.543,3073898140857.3022,-1120534199392.232
56,GHA,33172512366176.83,21633036331683.895,30498709401747.332,-2673802964429.496
57,GIN,13832285394397.123,9340767681163.004,14137136135695.56,304850741298.4375
58,GMB,2428189780478.3833,1491609784807.9365,2380319287600.73,-47870492877.65332
59,GRC,14270987390197.291,9952720677008.246,9411577568784.535,-4859409821412.756
60,GRD,87108248879.47719,92373195644.50723,98315137393.6635,11206888514.18631
61,GTM,15235663436856.37,13384772058699.793,18224423642185.504,2988760205329.135
62,GUY,857305828882.6688,665806232718.8457,727628897954.6361,-129676930928.03271
63,HND,7861519334146.112,7538185705565.358,9739290150618.012,1877770816471.8994
64,HRV,4572908553250.761,3800782965198.162,3431503367114.362,-1141405186136.399
65,HUN,11702624077916.035,8857194330676.7,8248375049399.815,-3454249028516.2197
66,IDN,484801561927642.3,211653283910650.2,247666467860588.62,-237135094067053.7
67,IND,1058387621277412.1,1072012026993577.0,1265349051591796.8,206961430314384.62
68,IRL,6252381537657.088,4161795640147.0713,4640708623423.824,-1611672914233.2637
69,IRN,91189830285962.84,65533805940328.95,75390878009104.92,-15798952276857.922
70,ISL,1174877338546.5051,291151834931.26733,320447482404.2428,-854429856142.2623
71,ISR,9232507684219.926,6370220102847.839,8043236648548.76,-1189271035671.166
72,ITA,73995832546919.6,52348728886250.76,50015356655839.12,-23980475891080.477
73,JAM,2829604971636.8105,2509125927291.01,2555340882233.4053,-274264089403.40527
74,JOR,6702254628253.146,7055371010946.925,9138600104864.248,2436345476611.1016
75,JPN,84837887087412.36,102983131326895.67,95857312373123.98,11019425285711.625
76,KAZ,34230464655331.855,14251722062393.992,16802051925235.414,-17428412730096.441
77,KEN,29653125640079.152,36657135185237.16,54497890279647.49,24844764639568.34
