,ISO3,Supply-BaU2,Supply-HalfW2,Folate (ug DFE/day),Ft2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
0,AFG,2237061974012.577,2564718149723.7188,4079526021155.34,5987768487161.742,1842464047142.7627,1842464047142.7627,1842464047142.7627,1514807871431.621,1514807871431.621,1514807871431.621,3750706513149.165,3750706513149.165,3750706513149.165,3423050337438.0234,3423050337438.0234,3423050337438.0234
1,ALB,480805837384.4695,571712176394.7014,398004667063.0288,396964907398.4057,-82801170321.44067,-82801170321.44067,-82801170321.44067,-173707509331.6726,-173707509331.6726,-173707509331.6726,-83840929986.06378,-83840929986.06378,-83840929986.06378,-174747268996.29572,-174747268996.29572,-174747268996.29572
2,ARE,70453612394.02493,93483527918.19191,1262892679940.7786,1549902222118.9255,1192439067546.7537,1192439067546.7537,1192439067546.7537,1169409152022.5867,1169409152022.5867,1169409152022.5867,1479448609724.9006,1479448609724.9006,1479448609724.9006,1456418694200.7336,1456418694200.7336,1456418694200.7336
3,ARG,42883373308246.83,49245577443898.83,5656674014075.32,6528382965587.046,-37226699294171.51,-37226699294171.51,-37226699294171.51,-43588903429823.51,-43588903429823.51,-43588903429823.51,-36354990342659.78,-36354990342659.78,-36354990342659.78,-42717194478311.78,-42717194478311.78,-42717194478311.78
4,ARM,349784345737.8086,448056238751.71326,389361891814.325,390620625061.4712,39577546076.51642,39577546076.51642,39577546076.51642,-58694346937.388245,-58694346937.388245,-58694346937.388245,40836279323.6626,40836279323.6626,40836279323.6626,-57435613690.242065,-57435613690.242065,-57435613690.242065
5,ATG,1656290876.0173082,2176622164.675875,13201057572.647617,15361261176.418753,11544766696.63031,11544766696.63031,11544766696.63031,11024435407.971743,11024435407.971743,11024435407.971743,13704970300.401443,13704970300.401443,13704970300.401443,13184639011.742878,13184639011.742878,13184639011.742878
6,AUS,2722127034358.2524,4097844327904.7617,3125895318126.675,3737121063896.2935,403768283768.42236,403768283768.42236,403768283768.42236,-971949009778.0869,-971949009778.0869,-971949009778.0869,1014994029538.041,1014994029538.041,1014994029538.041,-360723264008.46826,-360723264008.46826,-360723264008.46826
7,AUT,1047783108067.7435,1319455180897.3289,1156473506511.5315,1184229786920.1934,108690398443.78796,108690398443.78796,108690398443.78796,-162981674385.79736,-162981674385.79736,-162981674385.79736,136446678852.44983,136446678852.44983,136446678852.44983,-135225393977.1355,-135225393977.1355,-135225393977.1355
8,AZE,1291319425766.7031,1520247765023.701,1272035866050.6936,1444032930238.7349,-19283559716.00952,-19283559716.00952,-19283559716.00952,-248211898973.00732,-248211898973.00732,-248211898973.00732,152713504472.03174,152713504472.03174,152713504472.03174,-76214834784.96606,-76214834784.96606,-76214834784.96606
9,BDI,1565795202219.0364,1945490386229.7126,1215951323258.6653,1969899842396.1086,-349843878960.3711,-349843878960.3711,-349843878960.3711,-729539062971.0474,-729539062971.0474,-729539062971.0474,404104640177.07227,404104640177.07227,404104640177.07227,24409456166.395996,24409456166.395996,24409456166.395996
