,ISO3,Supply-BaU2,Folate (ug DFE/day),Ft2030,BaU_needed2030
0,AFG,2237061974012.577,4079526021155.34,5987768487161.742,3750706513149.165
1,ALB,480805837384.4695,398004667063.0288,396964907398.4057,-83840929986.06378
2,ARE,70453612394.02493,1262892679940.7786,1549902222118.9255,1479448609724.9006
3,ARG,42883373308246.83,5656674014075.32,6528382965587.046,-36354990342659.78
4,ARM,349784345737.8086,389361891814.325,390620625061.4712,40836279323.6626
5,ATG,1656290876.0173082,13201057572.647617,15361261176.418753,13704970300.401443
6,AUS,2722127034358.2524,3125895318126.675,3737121063896.2935,1014994029538.041
7,AUT,1047783108067.7435,1156473506511.5315,1184229786920.1934,136446678852.44983
8,AZE,1291319425766.7031,1272035866050.6936,1444032930238.7349,152713504472.03174
9,BDI,1565795202219.0364,1215951323258.6653,1969899842396.1086,404104640177.07227
10,BEN,1897707487780.0615,1280879755027.1902,1971479707672.833,73772219892.77148
11,BFA,5100000707419.015,2168559973679.8945,3430542809411.7295,-1669457898007.2852
12,BGD,10095876019313.09,21041999543613.26,24899000485269.586,14803124465956.496
13,BGR,1259378155959.772,976454024610.227,866874442198.1006,-392503713761.6714
14,BHR,14999086787.429358,182175841971.113,277543023714.0829,262543936926.65353
15,BHS,44189397391.8602,51672404547.87695,59635352352.57769,15445954960.717491
16,BIH,388878875717.64734,486551996928.174,458519779508.7328,69640903791.08545
17,BLR,1747800429438.4492,1277430814471.9248,1227663566619.1516,-520136862819.2976
18,BLZ,6735346189.112253,45935637668.29093,62622423364.32587,55887077175.213615
19,BOL,3079158304177.9004,1367719320613.4065,1722770230516.0713,-1356388073661.829
20,BRA,53318902013139.98,27533871889668.367,30590041989310.688,-22728860023829.29
21,BRB,48741747019.9418,38006717581.64626,38575641560.97073,-10166105458.97107
22,BRN,47564893668.98834,55590284133.06769,66864210817.97073,19299317148.98239
23,BTN,53852830158.21328,103047466865.9347,123127506366.80139,69274676208.5881
24,BWA,53086059166.95244,283492844139.53375,372712106280.34503,319626047113.3926
25,CAF,502578878603.1462,563941565762.6725,770580774501.384,268001895898.23785
26,CAN,7146002129372.591,4781197426302.723,5389575910040.153,-1756426219332.4375
27,CHE,819267153133.4415,1099842289754.4324,1216716045990.4636,397448892857.0221
