,ISO3,Supply-BaU2,Supply-HalfW2,Iron- 5 (mg/day),Iron- 10 (mg/day),Iron- 15 (mg/day),IrL2030,IrM2030,IrH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
0,AFG,188340436751.03122,212416146530.1377,384861452881.0,192430726440.5,128132201837.61113,569736735328.575,284868367664.2875,189662087802.1474,4090289689.4687805,196521016129.96878,-60208234913.42009,-19985420089.637695,172445306350.8623,-84283944692.52657,96527930913.25626,381396298577.5437,1321651051.1161804,72452221134.14978,357320588798.43726,-22754058727.990295
1,ALB,23464278166.16,28037346053.950535,36176999260.333336,18088499630.166668,12038331458.111113,34415563856.20799,17207781928.103996,11449595461.665432,-5375778535.993332,12712721094.173336,-11425946708.048887,-9948846423.783867,8139653206.382801,-15999014595.839422,-6256496238.056004,10951285690.047993,-12014682704.494568,-10829564125.846539,6378217802.257458,-16587750592.285103
2,ARE,5282958553.9021225,6498746646.7492485,106885301938.33333,53442650969.166664,35551452117.388885,132027846205.04414,66013923102.52207,43914837548.40036,48159692415.26454,101602343384.43121,30268493563.486763,46943904322.41742,100386555291.58408,29052705470.639637,60730964548.61995,126744887651.14203,38631878994.49824,59515176455.77283,125529099558.29489,37416090901.65111
3,ARG,1282318189084.7117,1505262479360.0537,522245936987.3333,261122968493.66666,173813417268.0,593881278811.0963,296940639405.54816,197634084806.6562,-1021195220591.045,-760072252097.3784,-1108504771816.7117,-1244139510866.387,-983016542372.7205,-1331449062092.0537,-985377549679.1636,-688436910273.6154,-1084684104278.0554,-1208321839954.5056,-911381200548.9574,-1307628394553.3975
4,ARM,17108195776.26856,20860865649.46667,35927152039.666664,17963576019.833332,11956740761.333334,35243689315.183716,17621844657.591858,11727240037.655296,855380243.5647717,18818956263.3981,-5151455014.935226,-2897289629.633339,15066286390.199993,-8904124888.133337,513648881.3232975,18135493538.915154,-5380955738.613264,-3239020991.874813,14382823665.717045,-9133625611.811375
5,ATG,100047439.20105393,120415775.39626262,1262476770.3333333,631238385.1666666,420234411.7777778,1394686347.3497443,697343173.6748722,464121519.11355335,531190945.9656127,1162429331.1322794,320186972.5767239,510822609.770404,1142060994.9370706,299818636.38151515,597295734.4738182,1294638908.1486905,364074079.9124994,576927398.2786095,1274270571.9534817,343705743.71729076
6,AUS,193620313985.15833,297672156817.65173,281682466695.3333,140841233347.66666,93732885060.1111,331845863740.7522,165922931870.3761,110415489959.79228,-52779080637.49167,88062152710.17499,-99887428925.04723,-156830923469.98508,-15989690122.31842,-203939271757.54065,-27697382114.782227,138225549755.59387,-83204824025.36604,-131749224947.27563,34173706923.100464,-187256666857.85944
7,AUT,85322456710.39017,106398812225.94669,102610086211.33333,51305043105.666664,34140198378.38889,101369568426.23715,50684784213.118576,33721797551.52976,-34017413604.723503,17287629500.94316,-51182258332.00128,-55093769120.28002,-3788726014.6133575,-72258613847.5578,-34637672497.27159,16047111715.846985,-51600659158.86041,-55714028012.82811,-5029243799.709534,-72677014674.41693
8,AZE,93165332248.08656,107981013216.50923,120374743180.66667,60187371590.333336,40067061037.833336,131323476466.05328,65661738233.02664,43699988851.00814,-32977960657.753227,27209410932.58011,-53098271210.25323,-47793641626.175896,12393729964.15744,-67913952178.675896,-27503594015.05992,38158144217.96672,-49465343397.07842,-42319274983.48259,23342463249.544052,-64281024365.50109
9,BDI,28487715177.551094,34446832802.45082,116025451287.66666,58012725643.83333,38633658904.16667,188320868434.28772,94160434217.14386,62700172748.398796,29525010466.282234,87537736110.11557,10145943726.615578,23565892841.382507,81578618485.21584,4186826101.715851,65672719039.592766,159833153256.73663,34212457570.847702,59713601414.69304,153874035631.8369,28253339945.947975
