,ISO3,Supply-BaU2,Iron- 10 (mg/day),IrM2030,BaU_needed2030
0,AFG,188340436751.03122,192430726440.5,284868367664.2875,96527930913.25626
1,ALB,23464278166.16,18088499630.166668,17207781928.103996,-6256496238.056004
2,ARE,5282958553.9021225,53442650969.166664,66013923102.52207,60730964548.61995
3,ARG,1282318189084.7117,261122968493.66666,296940639405.54816,-985377549679.1636
4,ARM,17108195776.26856,17963576019.833332,17621844657.591858,513648881.3232975
5,ATG,100047439.20105393,631238385.1666666,697343173.6748722,597295734.4738182
6,AUS,193620313985.15833,140841233347.66666,165922931870.3761,-27697382114.782227
7,AUT,85322456710.39017,51305043105.666664,50684784213.118576,-34637672497.27159
8,AZE,93165332248.08656,60187371590.333336,65661738233.02664,-27503594015.05992
9,BDI,28487715177.551094,58012725643.83333,94160434217.14386,65672719039.592766
10,BEN,64625973129.926735,60809404103.666664,93443219379.93306,28817246250.006325
11,BFA,183149750788.61957,103108747422.83333,162968928673.80234,-20180822114.81723
12,BGD,592999965197.4955,1013531616068.6666,1167035945438.858,574035980241.3624
13,BGR,-119933843242.88748,42349601288.49999,36684646020.66123,156618489263.5487
14,BHR,596417972.1527252,8216417265.166667,12074062222.564026,11477644250.4113
15,BHS,1786320730.256527,2414984053.333333,2683499123.116922,897178392.860395
16,BIH,17898439622.13693,21627426565.333336,19724070517.1442,1825630895.0072708
17,BLR,108483930657.36435,57061856345.0,53663763673.06268,-54820166984.30167
18,BLZ,2830375755.364159,2221112612.166667,2972991418.697118,142615663.3329587
19,BOL,107249228570.9817,64796437256.166664,80696611581.06772,-26552616989.913986
20,BRA,2418993867082.735,1297573260361.3333,1385807848398.8179,-1033186018683.917
21,BRB,2334581182.124522,1715608271.1666667,1687432770.075817,-647148412.0487051
22,BRN,2122727679.31055,2657018436.8333335,3022548803.2456765,899821123.9351265
23,BTN,4777871913.59736,4897541493.499999,5751224499.613062,973352586.0157022
24,BWA,4128427476.6345334,13647200277.0,17609017538.478848,13480590061.844315
25,CAF,17209823753.910378,26763726470.0,36892019743.71416,19682195989.80378
26,CAN,363554217739.9837,212527293548.3333,235217402423.4394,-128336815316.54431
27,CHE,55549936157.865295,49002590693.666664,52608793381.7026,-2941142776.162697
28,CHL,126010089869.16098,109095014687.99998,117520436505.00294,-8489653364.158035
29,CIV,162878007755.1284,133577781576.33333,199681816057.4503,36803808302.3219
30,CMR,167178563590.5492,131711924181.99998,198972991998.01343,31794428407.464233
31,COD,152742257061.5624,425673425373.33325,707311803862.8821,554569546801.3197
32,COG,14778550483.161709,28789062474.83333,43778970869.776695,29000420386.614986
33,COL,235176070470.83307,302907645302.6667,327592257522.1282,92416187051.2951
34,COM,2606249464.1329994,4564728130.333333,6464187336.6213,3857937872.4883003
35,CPR,12934181003382.07,8725462437392.0,8569174415410.597,-4365006587971.4736
36,CPV,3251990290.6098065,3288061340.166667,3976440541.8636246,724450251.253818
37,CRI,29001727540.429417,29838172265.833336,32940930707.476448,3939203167.0470314
38,CUB,40986681867.64772,70082461146.33334,65398528667.3622,24411846799.714478
39,CYP,9172708612.910912,7181448036.499999,7683153996.7322645,-1489554616.178647
40,CZE,103904758319.07057,63050926627.66667,60455901485.28668,-43448856833.78389
41,DEU,765900749674.3568,475048237190.5,460854412006.2599,-305046337668.0969
42,DJI,470695491.5711902,5747331999.333333,7129303640.176992,6658608148.605803
43,DNK,78755250868.78006,33542244120.166664,34783729835.5136,-43971521033.26646
44,DZA,401446693758.0001,241928872755.33334,299921846927.8492,-101524846830.15094
45,ECU,65003829582.52201,98512079736.33333,119563468863.13203,54559639280.61002
46,EGY,785588332207.5405,560789222779.6667,734638684604.1534,-50949647603.387085
47,ESP,575992646728.0795,273437074659.5,254551624784.1355,-321441021943.944
48,EST,8074368321.572649,7681498985.5,7141339530.563165,-933028791.0094843
49,ETH,901180843457.5074,584824838850.3334,855716853355.7314,-45463990101.776
50,FIN,40747766585.97313,31631676878.166664,32676492160.163364,-8071274425.809765
51,FJI,4663787224.190935,5468204941.0,5976906528.552145,1313119304.3612099
52,FRA,622476861858.69,371004233940.00006,381632649523.1744,-240844212335.51556
53,GAB,4132659257.585829,11291215419.833332,15819739164.08435,11687079906.498522
54,GBR,487681929332.3859,383213589315.49994,405733838682.34735,-81948090650.03857
55,GEO,31822297807.515343,23928261358.166664,21988791885.085815,-9833505922.429527
56,GHA,146157215653.63898,163784645768.5,228130240310.4546,81973024656.81561
57,GIN,50018582558.79037,69782568264.66666,105735578564.20749,55716996005.41712
58,GMB,10333400713.50637,11317838811.833332,17979543304.84392,7646142591.337551
59,GRC,140154294305.38562,66021914536.16667,60144589325.724304,-80009704979.66132
60,GRD,736097347.4411191,659780229.3333334,693223955.8993659,-42873391.54175317
61,GTM,99801474580.35341,98485405487.66667,131667545820.604,31866071240.250595
62,GUY,6335448289.861109,4790557876.5,5075140993.870605,-1260307295.9905033
63,HND,32820069073.91412,55201068009.83333,69696463146.3522,36876394072.43808
64,HRV,33027100998.151928,25016280477.666664,22218160390.801304,-10808940607.350624
65,HUN,123102191239.20451,58722051472.0,53339310011.940216,-69762881227.2643
66,IDN,1333687916090.2207,1607582569834.8333,1834675906690.1526,500987990599.9319
67,IND,6596242626288.324,8041027146606.833,9362318532363.402,2766075906075.078
68,IRL,46259240731.61903,28323309383.5,30719141489.632896,-15540099241.986137
69,IRN,739197729567.4778,504902316411.8334,563756033851.5405,-175441695715.93726
70,ISL,7301826072.676827,1965621603.3333333,2133055350.1857142,-5168770722.491114
71,ISR,72205528047.70303,47038591065.16667,58871623732.1742,-13333904315.528831
72,ITA,597153228352.1981,343567772952.6667,316838498466.90186,-280314729885.29626
73,JAM,17910290682.05636,17941739444.666664,17698990867.869698,-211299814.18666077
74,JOR,47643694773.50943,53896583450.333336,68609997521.610214,20966302748.100784
75,JPN,605280694803.9293,728115051755.1666,658203608713.9011,52922913909.9718
76,KAZ,297193628890.83136,106879792981.16666,124653791072.73055,-172539837818.10083
77,KEN,237881210823.23032,278343305318.6667,411255291820.0475,173374080996.81717
78,KGZ,43307010627.6975,35465426832.833336,42967546068.93708,-339464558.76042175
79,KHM,86045558253.55278,95769107400.83333,118915293703.7746,32869735450.221817
80,KIR,1609154174.5934782,676572005.6666666,869461005.8229783,-739693168.7705
81,KOR,312868828840.3867,312980388875.3334,301683703377.928,-11185125462.45874
82,KWT,28895271119.052097,24049167948.833332,30032381975.605175,1137110856.5530777
83,LBN,35079380597.0207,35550231042.333336,33280362091.95736,-1799018505.0633392
84,LBY,19654314966.82084,39637764268.166664,45966415442.58779,26312100475.766953
85,LCA,1044198101.1384732,1128865320.5,1137086821.7329493,92888720.5944761
86,LKA,119892168462.98642,127977116492.83333,130571725905.74551,10679557442.759094
87,LTU,23463438972.31095,17533164017.0,15419696483.461826,-8043742488.849125
88,LVA,15328254175.282228,11820783444.333332,9952390329.908379,-5375863845.37385
89,MAR,410176993642.7315,214696610069.0,250946547971.0774,-159230445671.6541
90,MDA,23660935810.318302,25437062855.833332,23448688483.315304,-212247327.00299835
91,MDG,59228224134.64529,141474624880.0,214964541793.2424,155736317658.5971
92,MDV,2101234512.4782805,2541582636.5,3149279932.4376397,1048045419.9593592
93,MEX,905992658134.2003,781110505186.6666,907124292479.6843,1131634345.4840088
94,MKD,13862400558.414223,12858814074.0,12396290798.657934,-1466109759.7562885
95,MLI,166152255951.0804,97645085636.83333,158677240451.38614,-7475015499.694275
96,MLT,3860204578.503515,2542857508.5,2557290732.0884957,-1302913846.415019
97,MNG,18575808831.782772,18384693638.333332,22094263559.684002,3518454727.90123
98,MRT,11059116547.987545,24345214630.83334,36676951441.85147,25617834893.863926
99,MUS,10945045388.321865,7885307381.333333,7782118137.0755005,-3162927251.2463646
100,MWI,110007095463.38881,100958378514.5,160523224813.36182,50516129349.97301
101,MYS,165267191220.741,191690320801.5,229437457155.4647,64170265934.723694
102,NAM,14396534909.262426,14656777039.666668,20121918652.980732,5725383743.718306
103,NER,263153324822.9278,108339630933.33334,199570497515.7424,-63582827307.185394
104,NGA,1087756391974.6846,1034530435667.6667,1566760157282.3606,479003765307.676
105,NIC,31820849256.36434,37871715990.0,43829072082.83851,12008222826.474167
106,NLD,188495910247.22128,100161415760.5,100292796196.64032,-88203114050.58096
107,NOR,27022664691.830906,30580180559.0,34612198695.67589,7589534003.844982
108,NPL,172210911732.75647,179234244515.49997,210992032502.8612,38781120770.10474
109,NZL,41859917246.20517,27433397968.166664,30436994508.065582,-11422922738.139587
110,OMN,28880123713.065247,23556110253.833336,35009631807.60191,6129508094.536667
111,PAK,1088102477560.6207,1130818110893.3335,1502206317027.216,414103839466.59534
112,PAN,16706926283.411907,24069673928.666668,29551411902.75341,12844485619.341503
113,PER,242394297673.8049,192870620328.1667,225637649776.70782,-16756647897.097076
114,PHL,526271537213.1596,619701940664.3334,774416789872.4719,248145252659.31232
115,PNG,49103297364.64155,47191192795.83333,64148563104.855385,15045265740.213837
116,POL,334547156377.2713,230214876180.83334,212878046814.3534,-121669109562.91791
117,PRT,103641736777.32129,61911887358.0,55099692633.98822,-48542044143.33307
118,PRY,117664945600.7362,40669257200.333336,48682614482.22851,-68982331118.50769
119,QAT,796041702.772954,13711317418.0,18946874410.891205,18150832708.11825
120,ROU,158583245794.84885,119682824737.83334,106389416908.31241,-52193828886.53644
121,RUS,1679697757539.1584,866127217723.1666,830098714610.4038,-849599042928.7546
122,RWA,54549473231.293655,68472046325.33334,99061565798.68549,44512092567.39183
123,SAU,218921873414.59482,191124810667.33337,240785183590.03766,21863310175.44284
124,SEN,88582061849.70555,86649171702.83334,133625909888.09755,45043848038.392
125,SGP,32448239692.00531,34124638582.500004,37045426453.60751,4597186761.602203
126,SLB,6567952828.751178,3479832912.0,4698183648.844042,-1869769179.907136
127,SLE,24894348843.412914,42468539665.33333,59575605992.511246,34681257149.09833
128,SLV,33231450481.128784,39691526687.666664,42191445921.24751,8959995440.118729
129,STP,1080746145.8897836,1133827909.1666667,1616160040.1008742,535413894.21109056
130,SUR,1888770967.8098598,3410889376.0,3771536920.283798,1882765952.4739385
131,SVK,56817668053.694855,33136405778.833332,31550103868.57427,-25267564185.120586
132,SVN,13825575760.0911,12113450311.5,11544434577.324404,-2281141182.766697
133,SWE,72699751680.13635,56525214194.666664,61475036765.68335,-11224714914.453003
134,SWZ,6142033294.064797,8041139909.5,10540015155.426994,4397981861.362197
135,SYC,712479818.1584079,577372232.6666667,582379635.7810302,-130100182.37737775
136,SYR,178800844914.11023,117362400029.99998,164354952814.58752,-14445892099.522705
137,TGO,37221665026.99253,43209553747.166664,63739426196.854904,26517761169.862373
138,THA,350599402383.3823,430023220552.6667,411790165763.57794,61190763380.19562
139,TON,1931670274.7576559,634967687.5000001,727321662.1019169,-1204348612.6557388
140,TTO,8638237801.31263,8443321887.666667,8431987207.816546,-206250593.49608326
141,TUN,136243812153.72809,69914839057.33333,78240887707.9284,-58002924445.79968
142,TUR,1133195387979.0334,482060913509.6667,541088562738.98193,-592106825240.0515
143,TZA,479724513730.0913,306483902503.3333,497912416403.3985,18187902673.30719
144,UGA,173920318454.63843,225132226969.16666,377396799875.9753,203476481421.33685
145,UKR,711360660046.5198,270178402632.66666,242270502530.28757,-469090157516.2322
146,URY,64007973695.463234,20453819411.0,21136614002.397346,-42871359693.06589
147,USA,4891549095158.347,1896582275906.0002,2072073880135.024,-2819475215023.3228
148,VCT,1818581031.981959,683829385.8333333,686090120.7501183,-1132490911.2318408
149,VEN,156956921152.22153,191825445042.50003,226371275691.08093,69414354538.8594
150,VUT,6020316338.54305,1572688262.8333333,2165543308.031646,-3854773030.511404
151,YEM,143431632757.32886,158507520979.83334,227977498594.48746,84545865837.1586
152,ZAF,285269486719.89954,342544443099.49994,404082889413.34576,118813402693.44623
153,ZMB,63854154273.507774,92465331399.33334,148495875667.59067,84641721394.08289
154,ZWE,38921890212.15544,93488631857.83334,133683902577.65901,94762012365.50357
