,ISO3,Supply-BaU2,Supply-HalfW2,Protein (g/year),Pr2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
0,AFG,699684401242.7513,786988413359.7688,457824772948.01404,683669719406.6484,-241859628294.7373,-241859628294.7373,-241859628294.7373,-329163640411.75476,-329163640411.75476,-329163640411.75476,-16014681836.102905,-16014681836.102905,-16014681836.102905,-103318693953.12036,-103318693953.12036,-103318693953.12036
1,ALB,113843122921.20346,131712249174.77516,55068913719.91241,55497197714.255005,-58774209201.29105,-58774209201.29105,-58774209201.29105,-76643335454.86276,-76643335454.86276,-76643335454.86276,-58345925206.948456,-58345925206.948456,-58345925206.948456,-76215051460.52016,-76215051460.52016,-76215051460.52016
2,ARE,37614523472.415146,44342394552.863144,148647345018.38327,182923097419.77985,111032821545.96812,111032821545.96812,111032821545.96812,104304950465.52013,104304950465.52013,104304950465.52013,145308573947.3647,145308573947.3647,145308573947.3647,138580702866.9167,138580702866.9167,138580702866.9167
3,ARG,5267408976462.926,6151911132461.383,741505838407.0726,862930013806.9198,-4525903138055.854,-4525903138055.854,-4525903138055.854,-5410405294054.311,-5410405294054.311,-5410405294054.311,-4404478962656.006,-4404478962656.006,-4404478962656.006,-5288981118654.463,-5288981118654.463,-5288981118654.463
4,ARM,76597262987.10612,91199214137.63577,45439829838.190994,45819088985.05206,-31157433148.91513,-31157433148.91513,-31157433148.91513,-45759384299.44478,-45759384299.44478,-45759384299.44478,-30778174002.05406,-30778174002.05406,-30778174002.05406,-45380125152.58371,-45380125152.58371,-45380125152.58371
5,ATG,835578487.4579684,981397099.6526955,1730842325.3142064,2038667612.8806794,895263837.856238,895263837.856238,895263837.856238,749445225.6615108,749445225.6615108,749445225.6615108,1203089125.422711,1203089125.422711,1203089125.422711,1057270513.2279838,1057270513.2279838,1057270513.2279838
6,AUS,956566587395.62,1380043037641.22,447939095768.23645,535266612100.8922,-508627491627.38354,-508627491627.38354,-508627491627.38354,-932103941872.9835,-932103941872.9835,-932103941872.9835,-421299975294.7278,-421299975294.7278,-421299975294.7278,-844776425540.3278,-844776425540.3278,-844776425540.3278
7,AUT,371306907492.54156,453186013488.53546,162634622902.46918,166514812293.26434,-208672284590.0724,-208672284590.0724,-208672284590.0724,-290551390586.0663,-290551390586.0663,-290551390586.0663,-204792095199.27722,-204792095199.27722,-204792095199.27722,-286671201195.2711,-286671201195.2711,-286671201195.2711
8,AZE,361189227427.375,415080908266.949,147931611001.7875,168732889548.34155,-213257616425.5875,-213257616425.5875,-213257616425.5875,-267149297265.16147,-267149297265.16147,-267149297265.16147,-192456337879.03345,-192456337879.03345,-192456337879.03345,-246348018718.60742,-246348018718.60742,-246348018718.60742
9,BDI,116662871007.29938,140765444903.10757,140052122432.04507,228427680576.14365,23389251424.745697,23389251424.745697,23389251424.745697,-713322471.0625,-713322471.0625,-713322471.0625,111764809568.84427,111764809568.84427,111764809568.84427,87662235673.03607,87662235673.03607,87662235673.03607
10,BEN,329472066415.3625,371524301920.4468,148208860037.27698,230121757982.39462,-181263206378.0855,-181263206378.0855,-181263206378.0855,-223315441883.1698,-223315441883.1698,-223315441883.1698,-99350308432.96786,-99350308432.96786,-99350308432.96786,-141402543938.05215,-141402543938.05215,-141402543938.05215
11,BFA,627288917159.6812,714660569096.1676,249484931573.59457,398869374555.59894,-377803985586.08655,-377803985586.08655,-377803985586.08655,-465175637522.573,-465175637522.573,-465175637522.573,-228419542604.0822,-228419542604.0822,-228419542604.0822,-315791194540.56866,-315791194540.56866,-315791194540.56866
12,BGD,3753165634415.6562,4224769118576.6465,2423897839444.5977,2896649680393.5376,-1329267794971.0586,-1329267794971.0586,-1329267794971.0586,-1800871279132.0488,-1800871279132.0488,-1800871279132.0488,-856515954022.1187,-856515954022.1187,-856515954022.1187,-1328119438183.109,-1328119438183.109,-1328119438183.109
13,BGR,300075429274.8349,456107755147.42114,137726168574.68628,122017404404.65974,-162349260700.14862,-162349260700.14862,-162349260700.14862,-318381586572.73486,-318381586572.73486,-318381586572.73486,-178058024870.17517,-178058024870.17517,-178058024870.17517,-334090350742.7614,-334090350742.7614,-334090350742.7614
14,BHR,5594047659.685206,6522416529.299482,21242709860.432808,32549082068.452545,15648662200.7476,15648662200.7476,15648662200.7476,14720293331.133326,14720293331.133326,14720293331.133326,26955034408.767338,26955034408.767338,26955034408.767338,26026665539.15306,26026665539.15306,26026665539.15306
15,BHS,10596781532.965487,11663082474.12616,6853168482.137541,7970623318.449087,-3743613050.8279457,-3743613050.8279457,-3743613050.8279457,-4809913991.988619,-4809913991.988619,-4809913991.988619,-2626158214.5163994,-2626158214.5163994,-2626158214.5163994,-3692459155.6770725,-3692459155.6770725,-3692459155.6770725
16,BIH,82029904812.026,96928413775.81682,68246953300.39162,64591367947.986465,-13782951511.634384,-13782951511.634384,-13782951511.634384,-28681460475.4252,-28681460475.4252,-28681460475.4252,-17438536864.039536,-17438536864.039536,-17438536864.039536,-32337045827.830353,-32337045827.830353,-32337045827.830353
17,BLR,499557646749.5696,597568586232.8607,179182796001.09384,171221775670.56155,-320374850748.4757,-320374850748.4757,-320374850748.4757,-418385790231.76685,-418385790231.76685,-418385790231.76685,-328335871079.00806,-328335871079.00806,-328335871079.00806,-426346810562.2992,-426346810562.2992,-426346810562.2992
18,BLZ,16595130186.052662,20110021711.363003,5882380280.483444,8171294937.382976,-10712749905.569218,-10712749905.569218,-10712749905.569218,-14227641430.879559,-14227641430.879559,-14227641430.879559,-8423835248.669686,-8423835248.669686,-8423835248.669686,-11938726773.980026,-11938726773.980026,-11938726773.980026
19,BOL,420648090531.3107,480693338068.2878,175200474469.02136,224333365713.04376,-245447616062.28937,-245447616062.28937,-245447616062.28937,-305492863599.2664,-305492863599.2664,-305492863599.2664,-196314724818.26697,-196314724818.26697,-196314724818.26697,-256359972355.24402,-256359972355.24402,-256359972355.24402
20,BRA,9086902253170.615,10740368993009.867,3631940775926.742,4094657788626.3467,-5454961477243.873,-5454961477243.873,-5454961477243.873,-7108428217083.125,-7108428217083.125,-7108428217083.125,-4992244464544.269,-4992244464544.269,-4992244464544.269,-6645711204383.5205,-6645711204383.5205,-6645711204383.5205
21,BRB,10101667055.834885,11003650833.202286,5067853518.352333,5165476013.043173,-5033813537.482552,-5033813537.482552,-5033813537.482552,-5935797314.849953,-5935797314.849953,-5935797314.849953,-4936191042.791712,-4936191042.791712,-4936191042.791712,-5838174820.159113,-5838174820.159113,-5838174820.159113
22,BRN,11790049345.581968,12731674965.771711,6459437770.179018,7814228074.096251,-5330611575.40295,-5330611575.40295,-5330611575.40295,-6272237195.592693,-6272237195.592693,-6272237195.592693,-3975821271.485718,-3975821271.485718,-3975821271.485718,-4917446891.675461,-4917446891.675461,-4917446891.675461
23,BTN,18500566318.127422,21095025969.60102,11897587316.244299,14344865326.925453,-6602979001.883123,-6602979001.883123,-6602979001.883123,-9197438653.356722,-9197438653.356722,-9197438653.356722,-4155700991.201969,-4155700991.201969,-4155700991.201969,-6750160642.675568,-6750160642.675568,-6750160642.675568
24,BWA,27265493958.012615,32118886044.874115,33598482844.97537,44628490676.81906,6332988886.962753,6332988886.962753,6332988886.962753,1479596800.1012535,1479596800.1012535,1479596800.1012535,17362996718.806446,17362996718.806446,17362996718.806446,12509604631.944946,12509604631.944946,12509604631.944946
25,CAF,82408215416.51021,97637235436.95717,65215195747.56929,90013717368.89896,-17193019668.940918,-17193019668.940918,-17193019668.940918,-32422039689.38788,-32422039689.38788,-32422039689.38788,7605501952.388748,7605501952.388748,7605501952.388748,-7623518068.058212,-7623518068.058212,-7623518068.058212
26,CAN,1679391898970.603,2437727805502.4136,749408084472.7034,846476514223.6168,-929983814497.8997,-929983814497.8997,-929983814497.8997,-1688319721029.7102,-1688319721029.7102,-1688319721029.7102,-832915384746.9862,-832915384746.9862,-832915384746.9862,-1591251291278.7969,-1591251291278.7969,-1591251291278.7969
27,CHE,304605959590.5491,342925392840.08124,154472476781.83417,170767035557.4486,-150133482808.7149,-150133482808.7149,-150133482808.7149,-188452916058.24707,-188452916058.24707,-188452916058.24707,-133838924033.10046,-133838924033.10046,-133838924033.10046,-172158357282.63263,-172158357282.63263,-172158357282.63263
28,CHL,754250119434.0603,882262902089.3359,313795968481.0652,353579455446.31586,-440454150952.9951,-440454150952.9951,-440454150952.9951,-568466933608.2708,-568466933608.2708,-568466933608.2708,-400670663987.74445,-400670663987.74445,-400670663987.74445,-528683446643.0201,-528683446643.0201,-528683446643.0201
29,CIV,530367556511.0713,646797012938.5996,326301576391.2015,488729141678.5824,-204065980119.8698,-204065980119.8698,-204065980119.8698,-320495436547.39813,-320495436547.39813,-320495436547.39813,-41638414832.48889,-41638414832.48889,-41638414832.48889,-158067871260.0172,-158067871260.0172,-158067871260.0172
30,CMR,654926579873.5747,766635335170.0333,320143607832.91534,487578454494.5224,-334782972040.65936,-334782972040.65936,-334782972040.65936,-446491727337.118,-446491727337.118,-446491727337.118,-167348125379.0523,-167348125379.0523,-167348125379.0523,-279056880675.5109,-279056880675.5109,-279056880675.5109
31,COD,655138768756.3756,810017303451.938,1036026281647.881,1730219700223.5195,380887512891.5054,380887512891.5054,380887512891.5054,226008978195.943,226008978195.943,226008978195.943,1075080931467.1439,1075080931467.1439,1075080931467.1439,920202396771.5815,920202396771.5815,920202396771.5815
32,COG,74457376885.63116,84662650676.17984,70300842156.53531,108306120985.08386,-4156534729.0958557,-4156534729.0958557,-4156534729.0958557,-14361808519.644531,-14361808519.644531,-14361808519.644531,33848744099.452698,33848744099.452698,33848744099.452698,23643470308.904022,23643470308.904022,23643470308.904022
33,COL,1100289465623.4805,1253339064304.6313,842122470878.7037,960596925852.0654,-258166994744.77673,-258166994744.77673,-258166994744.77673,-411216593425.9276,-411216593425.9276,-411216593425.9276,-139692539771.41504,-139692539771.41504,-139692539771.41504,-292742138452.5659,-292742138452.5659,-292742138452.5659
34,COM,11085142506.03986,13165475408.513975,11163704470.947502,16032389084.801893,78561964.90764236,78561964.90764236,78561964.90764236,-2001770937.566473,-2001770937.566473,-2001770937.566473,4947246578.762033,4947246578.762033,4947246578.762033,2866913676.287918,2866913676.287918,2866913676.287918
35,CPR,57394761587932.72,67489907884228.97,22265257609597.41,23298229524722.953,-35129503978335.31,-35129503978335.31,-35129503978335.31,-45224650274631.56,-45224650274631.56,-45224650274631.56,-34096532063209.766,-34096532063209.766,-34096532063209.766,-44191678359506.016,-44191678359506.016,-44191678359506.016
36,CPV,15497523677.268105,17752794225.72818,8141495402.468041,10078125462.274477,-7356028274.800063,-7356028274.800063,-7356028274.800063,-9611298823.26014,-9611298823.26014,-9611298823.26014,-5419398214.993628,-5419398214.993628,-5419398214.993628,-7674668763.453703,-7674668763.453703,-7674668763.453703
37,CRI,136270118252.72058,155977968791.48068,84330968734.56918,97826086495.87434,-51939149518.1514,-51939149518.1514,-51939149518.1514,-71647000056.9115,-71647000056.9115,-71647000056.9115,-38444031756.84624,-38444031756.84624,-38444031756.84624,-58151882295.60634,-58151882295.60634,-58151882295.60634
