,ISO3,Supply-BaU2,Protein (g/year),Pr2030,BaU_needed2030
0,AFG,699684401242.7513,457824772948.01404,683669719406.6484,-16014681836.102905
1,ALB,113843122921.20346,55068913719.91241,55497197714.255005,-58345925206.948456
2,ARE,37614523472.415146,148647345018.38327,182923097419.77985,145308573947.3647
3,ARG,5267408976462.926,741505838407.0726,862930013806.9198,-4404478962656.006
4,ARM,76597262987.10612,45439829838.190994,45819088985.05206,-30778174002.05406
5,ATG,835578487.4579684,1730842325.3142064,2038667612.8806794,1203089125.422711
6,AUS,956566587395.62,447939095768.23645,535266612100.8922,-421299975294.7278
7,AUT,371306907492.54156,162634622902.46918,166514812293.26434,-204792095199.27722
8,AZE,361189227427.375,147931611001.7875,168732889548.34155,-192456337879.03345
9,BDI,116662871007.29938,140052122432.04507,228427680576.14365,111764809568.84427
10,BEN,329472066415.3625,148208860037.27698,230121757982.39462,-99350308432.96786
11,BFA,627288917159.6812,249484931573.59457,398869374555.59894,-228419542604.0822
12,BGD,3753165634415.6562,2423897839444.5977,2896649680393.5376,-856515954022.1187
13,BGR,300075429274.8349,137726168574.68628,122017404404.65974,-178058024870.17517
14,BHR,5594047659.685206,21242709860.432808,32549082068.452545,26955034408.767338
15,BHS,10596781532.965487,6853168482.137541,7970623318.449087,-2626158214.5163994
16,BIH,82029904812.026,68246953300.39162,64591367947.986465,-17438536864.039536
17,BLR,499557646749.5696,179182796001.09384,171221775670.56155,-328335871079.00806
18,BLZ,16595130186.052662,5882380280.483444,8171294937.382976,-8423835248.669686
19,BOL,420648090531.3107,175200474469.02136,224333365713.04376,-196314724818.26697
20,BRA,9086902253170.615,3631940775926.742,4094657788626.3467,-4992244464544.269
21,BRB,10101667055.834885,5067853518.352333,5165476013.043173,-4936191042.791712
22,BRN,11790049345.581968,6459437770.179018,7814228074.096251,-3975821271.485718
23,BTN,18500566318.127422,11897587316.244299,14344865326.925453,-4155700991.201969
24,BWA,27265493958.012615,33598482844.97537,44628490676.81906,17362996718.806446
25,CAF,82408215416.51021,65215195747.56929,90013717368.89896,7605501952.388748
26,CAN,1679391898970.603,749408084472.7034,846476514223.6168,-832915384746.9862
27,CHE,304605959590.5491,154472476781.83417,170767035557.4486,-133838924033.10046
28,CHL,754250119434.0603,313795968481.0652,353579455446.31586,-400670663987.74445
29,CIV,530367556511.0713,326301576391.2015,488729141678.5824,-41638414832.48889
