,ISO3,Supply-BaU2,Supply-HalfW2,Vitamin A (ug RE/day),VA2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
0,AFG,2170874770457.144,2463235436726.717,6399931897653.843,9128037264081.129,4229057127196.6987,4229057127196.6987,4229057127196.6987,3936696460927.126,3936696460927.126,3936696460927.126,6957162493623.984,6957162493623.984,6957162493623.984,6664801827354.412,6664801827354.412,6664801827354.412
1,ALB,1051716095318.9246,1205419907404.0464,580993347686.2098,580103785511.4235,-470722747632.7147,-470722747632.7147,-470722747632.7147,-624426559717.8365,-624426559717.8365,-624426559717.8365,-471612309807.5011,-471612309807.5011,-471612309807.5011,-625316121892.6229,-625316121892.6229,-625316121892.6229
2,ARE,336252097087.52515,434509178369.8744,1881282423019.501,2280348510841.1104,1545030325931.9758,1545030325931.9758,1545030325931.9758,1446773244649.6265,1446773244649.6265,1446773244649.6265,1944096413753.5852,1944096413753.5852,1944096413753.5852,1845839332471.2358,1845839332471.2358,1845839332471.2358
3,ARG,9375564528633.523,11369494095264.48,8398243635083.8125,9629707729020.164,-977320893549.7109,-977320893549.7109,-977320893549.7109,-2971250460180.668,-2971250460180.668,-2971250460180.668,254143200386.64062,254143200386.64062,254143200386.64062,-1739786366244.3164,-1739786366244.3164,-1739786366244.3164
4,ARM,675432500828.9027,843050282633.6539,567197692000.654,566856752687.6193,-108234808828.24866,-108234808828.24866,-108234808828.24866,-275852590632.9999,-275852590632.9999,-275852590632.9999,-108575748141.28345,-108575748141.28345,-108575748141.28345,-276193529946.03467,-276193529946.03467,-276193529946.03467
5,ATG,5971460537.1221485,7446548587.922889,19446301442.30476,22502438733.19282,13474840905.182611,13474840905.182611,13474840905.182611,11999752854.38187,11999752854.38187,11999752854.38187,16530978196.070673,16530978196.070673,16530978196.070673,15055890145.269932,15055890145.269932,15055890145.269932
6,AUS,8073996392324.751,10027751128101.135,4575995903769.18,5476935976679.973,-3498000488555.5713,-3498000488555.5713,-3498000488555.5713,-5451755224331.955,-5451755224331.955,-5451755224331.955,-2597060415644.7783,-2597060415644.7783,-2597060415644.7783,-4550815151421.162,-4550815151421.162,-4550815151421.162
7,AUT,2026108797261.4849,2409700974799.328,1675004321096.464,1723542441071.8906,-351104476165.02075,-351104476165.02075,-351104476165.02075,-734696653702.864,-734696653702.864,-734696653702.864,-302566356189.59424,-302566356189.59424,-302566356189.59424,-686158533727.4375,-686158533727.4375,-686158533727.4375
8,AZE,1398481706477.4434,1670272430057.0837,1872932133671.8738,2111704821234.2922,474450427194.4304,474450427194.4304,474450427194.4304,202659703614.79004,202659703614.79004,202659703614.79004,713223114756.8489,713223114756.8489,713223114756.8489,441432391177.2085,441432391177.2085,441432391177.2085
9,BDI,2440622014735.9297,3228931705319.56,1915295958767.1646,3063745369465.8823,-525326055968.76514,-525326055968.76514,-525326055968.76514,-1313635746552.3955,-1313635746552.3955,-1313635746552.3955,623123354729.9526,623123354729.9526,623123354729.9526,-165186335853.67773,-165186335853.67773,-165186335853.67773
