,ISO3,Supply-BaU2,Vitamin A (ug RE/day),VA2030,BaU_needed2030
0,AFG,2170874770457.144,6399931897653.843,9128037264081.129,6957162493623.984
1,ALB,1051716095318.9246,580993347686.2098,580103785511.4235,-471612309807.5011
2,ARE,336252097087.52515,1881282423019.501,2280348510841.1104,1944096413753.5852
3,ARG,9375564528633.523,8398243635083.8125,9629707729020.164,254143200386.64062
4,ARM,675432500828.9027,567197692000.654,566856752687.6193,-108575748141.28345
5,ATG,5971460537.1221485,19446301442.30476,22502438733.19282,16530978196.070673
6,AUS,8073996392324.751,4575995903769.18,5476935976679.973,-2597060415644.7783
7,AUT,2026108797261.4849,1675004321096.464,1723542441071.8906,-302566356189.59424
8,AZE,1398481706477.4434,1872932133671.8738,2111704821234.2922,713223114756.8489
9,BDI,2440622014735.9297,1915295958767.1646,3063745369465.8823,623123354729.9526
10,BEN,625955157456.2698,2002908870028.2852,3044313162922.414,2418358005466.1445
11,BFA,900462430956.3064,3415723328736.509,5325209047614.456,4424746616658.149
12,BGD,3320780110756.391,31471984852353.223,36594016520568.62,33273236409812.227
13,BGR,1170552604066.872,1414993102682.0076,1260225706818.8516,89673102751.97949
14,BHR,197945022243.55444,271257373773.33618,410418266493.5653,212473244250.01086
15,BHS,56711528087.4959,75661243575.98209,87144024019.05783,30432495931.561928
16,BIH,519851372176.7251,704089697671.4276,666414654036.1353,146563281859.41016
17,BLR,3061956509179.192,1851396752882.887,1787268213390.231,-1274688295788.961
18,BLZ,27699657570.81555,69281652164.9364,93030695681.83018,65331038111.01463
19,BOL,971952661534.4834,2068942805024.2761,2571569813354.866,1599617151820.3828
20,BRA,17896449807373.707,40433627466681.71,44556844139861.62,26660394332487.91
21,BRB,30778804121.001804,55438649780.80273,56401062555.30639,25622258434.304585
22,BRN,47911838157.57932,81969119741.2682,97763800752.64334,49851962595.06402
23,BTN,131276742681.60806,154130615186.40204,181043491590.57794,49766748908.96988
24,BWA,200903201307.9625,427440914271.8006,553620726507.6697,352717525199.70715
25,CAF,127496169419.85675,881067472685.6757,1188430809339.9155,1060934639920.0588
26,CAN,7271462682881.544,6948844475470.752,7862735897506.4,591273214624.8564
27,CHE,2574942488652.7393,1596035483298.3152,1772277537271.472,-802664951381.2673
28,CHL,2658390889110.267,3469137445959.3564,3853876138813.982,1195485249703.7148
29,CIV,1175265947187.1455,4403798390647.608,6497670674426.409,5322404727239.264
30,CMR,2730467729003.662,4326930086452.1685,6421974708303.352,3691506979299.6895
31,COD,2997032115210.4014,14289410809773.256,23357348630817.797,20360316515607.395
32,COG,124739830876.40233,946913032220.4747,1426542657216.664,1301802826340.2617
33,COL,5436676358532.94,9451903431400.543,10507428650215.71,5070752291682.7705
34,COM,37838920861.45882,148464153772.58435,207921041599.22217,170082120737.76337
35,CPR,414433886208609.9,276690827008301.22,288151433795670.2,-126282452412939.69
36,CPV,6354254128.588181,103302624950.60873,124237816173.79285,117883562045.20467
37,CRI,489967877076.1281,940168828628.9396,1067275144828.6349,577307267752.5068
38,CUB,2590747399895.926,2244864714687.296,2236640503353.947,-354106896541.979
39,CYP,180149363454.04794,227374628845.78204,252214746608.41675,72065383154.3688
40,CZE,1819542506357.6375,2080024058423.0386,2067776398848.7295,248233892491.09204
41,DEU,18406601497139.043,15792037254249.252,15789405683525.078,-2617195813613.965
42,DJI,34620315532.031494,180404559388.62167,223919019392.2778,189298703860.2463
43,DNK,2482499105222.555,1111703343091.5757,1178400878186.1255,-1304098227036.4297
44,DZA,7194134139222.412,7668236027118.766,9628633049880.322,2434498910657.91
45,ECU,1270408390356.7344,3124440037481.129,3838609380632.527,2568200990275.7925
46,EGY,9181895689448.79,18025959585708.934,23630414260621.96,14448518571173.172
47,ESP,9012689386010.125,8927250444381.459,8738260309178.438,-274429076831.68652
48,EST,406086624499.1002,255084669355.77847,242080912762.29807,-164005711736.80215
49,ETH,9804796210254.582,19048148468619.938,27251020688364.29,17446224478109.707
50,FIN,1464102651448.652,1062545471466.128,1111264511459.534,-352838139989.11816
51,FJI,66318165774.860245,175818770252.99927,193582798384.44342,127264632609.58318
52,FRA,17096465221093.598,12318964989983.42,12904323717216.406,-4192141503877.1914
53,GAB,98499714964.01253,367052632370.5056,508945686184.1991,410445971220.1866
54,GBR,15987873257224.965,12583645425846.746,13606599887580.725,-2381273369644.24
55,GEO,447228354876.67395,781292784852.1198,733774963681.0243,286546608804.35034
56,GHA,2344317309722.3394,5269447411609.595,7311797763774.558,4967480454052.219
57,GIN,1097498167494.5287,2304838346892.954,3439522797112.363,2342024629617.834
58,GMB,63693225614.74006,371920075174.7678,582838351180.6947,519145125565.95465
59,GRC,3337371838350.186,2167376915289.821,2053701198239.1687,-1283670640111.0173
60,GRD,10659989332.481121,20855357816.433582,21970333317.51469,11310343985.03357
61,GTM,822683287095.528,3114621555066.548,4142893253088.993,3320209965993.4653
62,GUY,100421199001.39519,151513551896.11646,164070166131.46042,63648967130.06523
63,HND,409174947505.31573,1731359821965.2107,2186865112586.5017,1777690165081.186
64,HRV,727741985007.2955,829739748407.4648,754576271072.099,26834286064.803467
65,HUN,1387973286793.2153,1924293639039.11,1809186407363.366,421213120570.15063
66,IDN,17123057298099.666,50548722351372.56,58777469997272.58,41654412699172.914
67,IND,72342963278625.81,256470265984436.75,300262808115380.4,227919844836754.56
68,IRL,1917699080092.196,918437921803.188,1023362273300.3462,-894336806791.8499
69,IRN,11408698838386.375,15481312545341.72,17639136621972.914,6230437783586.539
70,ISL,259782092542.27094,64049635592.9994,70816117998.67868,-188965974543.59225
71,ISR,1477136536035.9138,1542409508073.9163,1939852801489.1206,462716265453.2068
72,ITA,13860543523172.896,11424339039312.074,11023865488231.361,-2836678034941.535
73,JAM,512396690723.2841,562645780263.5167,571408753317.5769,59012062594.292786
74,JOR,1024822873637.86,1724107701430.9255,2193439078033.2192,1168616204395.3594
75,JPN,18916367944098.43,24528507642420.105,23040017433535.777,4123649489437.3477
