,ISO3,Supply-BaU2,Vitamin B12 (ug/day),VB122030,BaU_needed2030
0,AFG,29088176678.884068,24295450831.94818,35738526531.063675,6650349852.179607
1,ALB,9877712758.781673,2381068496.7038617,2375542692.0995865,-7502170066.682087
2,ARE,3550158716.838125,7563018064.963858,9285793224.463465,5735634507.6253395
3,ARG,117558071101.72946,33795069231.108955,39028449659.33691,-78529621442.39255
4,ARM,5386053426.918028,2327603742.580715,2337823593.6516523,-3048229833.2663755
5,ATG,60820126.82015347,78864776.89523809,91826538.09605971,31006411.275906242
6,AUS,91308883439.17726,18690806689.15614,22355604367.085667,-68953279072.0916
7,AUT,17021179192.200695,6919249994.389764,7085049381.276812,-9936129810.923883
8,AZE,15478461163.307775,7598282414.145298,8639006830.426134,-6839454332.881641
9,BDI,975864194.447443,7224234916.1504755,11728121558.640934,10752257364.193491
10,BEN,4396135448.182967,7620274651.522954,11745029843.012833,7348894394.829865
11,BFA,11721810182.31336,12894734880.418375,20433673470.84903,8711863288.53567
12,BGD,57309744032.916595,125722008706.24632,148932059444.8738,91622315411.95721
13,BGR,13610569352.83826,5842583454.509205,5188180267.2478895,-8422389085.590371
14,BHR,2895137137.45617,1089229216.0609906,1661021604.1097078,-1234115533.3464622
15,BHS,653203971.3775792,308898084.933238,356715925.90541255,-296488045.47216666
16,BIH,3723088523.377843,2912550282.5913825,2744867038.512949,-978221484.8648939
17,BLR,28252994730.465168,7639360882.914069,7345618320.840242,-20907376409.624924
18,BLZ,3337988350.6281543,274347471.6828,374329726.9447132,-2963658623.683441
19,BOL,11484704510.565155,8163644677.083429,10293568459.801422,-1191136050.763733
20,BRA,334544726026.6249,164613356086.111,183027975796.7076,-151516750229.91727
21,BRB,459422534.4587836,227352190.5321333,230818645.47634685,-228603888.98243678
22,BRN,596159648.3386624,332215202.4561943,399979796.1127484,-196179852.225914
23,BTN,954580366.2664099,615868457.8055428,736619703.8646473,-217960662.4017626
24,BWA,3192180294.771707,1690809877.3519561,2226470300.9393673,-965709993.8323398
25,CAF,4066647942.5528054,3356594172.7977047,4593463565.802058,526815623.2492528
26,CAN,86167993390.02315,28606856497.45031,32256432067.719177,-53911561322.30397
27,CHE,23328257284.695866,6580094109.170925,7280243384.299452,-16048013900.396414
28,CHL,84406220245.54288,14149752364.49343,15787968278.789942,-68618251966.75294
29,CIV,17159630833.181025,16767277446.45638,25001811856.299427,7842181023.1184025
30,CMR,16991831491.162083,16465077951.682785,24862212190.051647,7870380698.8895645
31,COD,8261670324.079141,53596939546.99469,88960973755.37003,80699303431.29088
32,COG,4773013010.103226,3610023860.9019046,5520042213.923705,747029203.8204794
33,COL,52894371794.31264,38332839948.99819,43063805790.40014,-9830566003.912498
34,COM,824460890.2317333,570647613.0014495,812623340.9318665,-11837549.299866796
35,CPR,2939899537951.3936,1136788415037.989,1186304960066.9346,-1753594577884.459
36,CPV,-312613901.09007204,410102642.522621,501747737.9574654,814361639.0475374
37,CRI,5777593240.831854,3820242204.7754803,4373521009.568038,-1404072231.2638159
38,CUB,7987104327.475341,9244278204.53336,9194938924.898298,1207834597.4229574
39,CYP,2087143415.1893027,935302624.323619,1040558382.9690295,-1046585032.2202731
40,CZE,18806724351.128193,8568025090.277776,8507473158.368681,-10299251192.759512
41,DEU,160155801060.43787,65279486045.98276,64906180908.52996,-95249620151.9079
42,DJI,612859085.107383,713723276.5868433,900796542.1210588,287937457.0136758
43,DNK,44126708211.31961,4556547443.206968,4813420832.320793,-39313287378.99882
44,DZA,64429925246.9702,30416411585.11518,38877117067.53299,-25552808179.43721
