,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
128,AUS,2511.0,8.7920495794178e-11,7.180710962900763e-11
129,AUS,2514.0,5.0744286363262295e-11,4.1444267357894273e-11
130,AUS,2555.0,8.176138485946226e-11,7.325185623417512e-11
131,AUS,2805.0,5.22950701179821e-10,4.2710835500853076e-10
132,AUS,2903.0,8.556513822576693e-11,7.66597240830104e-11
133,AUS,2905.0,5.3399434833545936e-11,4.36128008217328e-11
134,AUS,2907.0,1.5913591972777626e-10,1.119666875366112e-10
136,AUS,2913.0,5.335335861053609e-11,4.7800469148940524e-11
137,AUS,2918.0,3.8456784235713635e-10,2.97616208246447e-10
138,AUS,2919.0,1.4909993609866134e-10,1.1538811295163324e-10
139,NZL,2511.0,2.4389771628875806e-10,1.9919803560720116e-10
140,NZL,2514.0,8.069537620136037e-10,6.590615388486927e-10
141,NZL,2903.0,2.846870081797866e-09,2.5505746790821074e-09
142,NZL,2905.0,1.0875165652472732e-10,8.882049688036893e-11
143,NZL,2907.0,3.603838215348208e-10,2.5356300958366285e-10
144,NZL,2913.0,1.8796092312425298e-08,1.6839840154379665e-08
145,NZL,2918.0,1.6858566933758467e-09,1.3046807909213157e-09
146,NZL,2919.0,3.4907062973109085e-10,2.701449933878978e-10
147,BGD,2511.0,4.770884240948384e-11,4.2740384888593766e-11
148,BGD,2514.0,4.0912030995244306e-11,3.6651401773756376e-11
149,BGD,2555.0,4.905471706708349e-11,4.188078691195617e-11
150,BGD,2805.0,3.640961343688168e-10,3.2617871516997767e-10
151,BGD,2903.0,8.433225844007123e-11,7.199921957969264e-11
152,BGD,2905.0,5.876465780538624e-12,5.264483407271769e-12
153,BGD,2907.0,7.179207948757186e-11,5.485367784928934e-11
155,BGD,2913.0,5.998285136408001e-11,5.1210753349472556e-11
156,BGD,2918.0,2.993195921908396e-10,2.0797761865906639e-10
157,BGD,2919.0,2.2337284399610529e-10,1.5520718783350954e-10
158,IND,2511.0,1.2482119850139534e-10,1.118221653842663e-10
159,IND,2514.0,1.4454456051682588e-10,1.2949151222360605e-10
160,IND,2555.0,4.2102755291928803e-10,3.594550388245345e-10
161,IND,2805.0,4.994752421103048e-10,4.4745927614194956e-10
162,IND,2903.0,1.1262478047929882e-10,9.61541461101284e-11
163,IND,2905.0,1.2600047123185035e-10,1.1287862720230132e-10
164,IND,2907.0,5.717818836772029e-11,4.36877430924935e-11
166,IND,2913.0,1.008712908755346e-10,8.611952715811233e-11
167,IND,2918.0,2.00712677499e-10,1.394621193868001e-10
