,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
128,AUS,2511.0,4.826116148449927e-10,3.941623033670563e-10
129,AUS,2514.0,2.619949013146224e-10,2.139785090041076e-10
130,AUS,2555.0,4.676751213961241e-10,4.190006176594817e-10
131,AUS,2805.0,1.1120103057033519e-09,9.082096865918091e-10
132,AUS,2903.0,5.221793484786015e-10,4.678321756530644e-10
133,AUS,2905.0,3.236394637702159e-10,2.643253344433487e-10
134,AUS,2907.0,9.630620850606769e-10,6.776023398162119e-10
136,AUS,2913.0,3.2563851789387005e-10,2.9174684281672906e-10
137,AUS,2918.0,2.3471831104198042e-09,1.8164798520374272e-09
138,AUS,2919.0,9.100211022076264e-10,7.042633315444201e-10
139,NZL,2511.0,1.5354405398951581e-09,1.254036913476724e-09
140,NZL,2514.0,5.126581622669493e-09,4.187021527527156e-09
141,NZL,2903.0,1.824843722432432e-08,1.634918369291631e-08
142,NZL,2905.0,6.890558928369484e-10,5.627710761923721e-10
143,NZL,2907.0,2.2961056458188126e-09,1.615520517531346e-09
144,NZL,2913.0,1.2048295172264617e-07,1.0794337538957367e-07
145,NZL,2918.0,1.0806341404539177e-08,8.363003869805634e-09
146,NZL,2919.0,2.2375427365762923e-09,1.731629407616425e-09
147,BGD,2511.0,2.593939756946857e-10,2.323803680629557e-10
148,BGD,2514.0,2.1064844850205906e-10,1.887112600194512e-10
149,BGD,2555.0,2.8059298162371754e-10,2.3955810113638927e-10
150,BGD,2805.0,9.713289072604408e-10,8.70173520317396e-10
151,BGD,2903.0,5.018213427434795e-10,4.2843326758098694e-10
152,BGD,2905.0,3.3613384264680925e-11,3.011284508959452e-11
153,BGD,2907.0,4.215008146360699e-10,3.2205321345041303e-10
155,BGD,2913.0,3.574690724976039e-10,3.0519156868061117e-10
156,BGD,2918.0,1.783801446039536e-09,1.2394470211337394e-09
157,BGD,2919.0,1.331195192435554e-09,9.249605215171651e-10
158,IND,2511.0,7.302993838238055e-10,6.542451078697218e-10
159,IND,2514.0,7.880357228387619e-10,7.059687135354721e-10
160,IND,2555.0,2.498626639923757e-09,2.1332189060652442e-09
161,IND,2805.0,1.3656256922359054e-09,1.223407753199065e-09
162,IND,2903.0,6.833820284627854e-10,5.834418955952995e-10
163,IND,2905.0,7.65588801720845e-10,6.858594423880137e-10
164,IND,2907.0,3.4115959037868253e-10,2.6066744966020067e-10
166,IND,2913.0,6.152221762289321e-10,5.252499740426238e-10
167,IND,2918.0,1.2241628829756578e-09,8.505907661726609e-10
168,IND,2919.0,6.881223189730165e-10,4.7813121820277e-10
169,IRN,2511.0,4.789616324177852e-10,4.2908197899045983e-10
170,IRN,2514.0,5.459597716754508e-10,4.891028496314755e-10
171,IRN,2555.0,1.0039362682058513e-09,8.571171833366264e-10
172,IRN,2805.0,1.5285620303308444e-09,1.3693757006655788e-09
