,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
128,AUS,2511.0,2.463555185355307e-11,2.0120539093187517e-11
129,AUS,2514.0,1.5949296492008955e-11,1.3026233204920945e-11
130,AUS,2555.0,1.3899435426108588e-11,1.2452815559809774e-11
131,AUS,2805.0,3.022998779089532e-10,2.468967022736154e-10
132,AUS,2903.0,1.9236548626004876e-11,1.723445483238719e-11
133,AUS,2905.0,1.1684017538903557e-11,9.542661477789949e-12
134,AUS,2907.0,3.461656585172747e-11,2.4355923030709567e-11
136,AUS,2913.0,1.2000269076438633e-11,1.0751309883873237e-11
137,AUS,2918.0,8.649722729019965e-11,6.694001415238877e-11
138,AUS,2919.0,3.353564609727133e-11,2.5953162831789338e-11
139,NZL,2511.0,4.080625678891666e-11,3.3327602720197675e-11
140,NZL,2514.0,1.3382547202027217e-10,1.0929897805637391e-10
141,NZL,2903.0,4.5549921308765866e-10,4.080919486531373e-10
142,NZL,2905.0,1.7516819036515123e-11,1.4306472382174868e-11
143,NZL,2907.0,5.786365275309872e-11,4.0712376807298133e-11
144,NZL,2913.0,3.0073747699880486e-09,2.6943744247007474e-09
145,NZL,2918.0,2.697370709401355e-10,2.0874892654741057e-10
146,NZL,2919.0,5.5851300756974544e-11,4.322319894206366e-11
147,BGD,2511.0,1.3330071757513799e-11,1.1941861691355114e-11
148,BGD,2514.0,1.3304276692464548e-11,1.191875295610288e-11
149,BGD,2555.0,8.339301901404195e-12,7.119733775032551e-12
150,BGD,2805.0,1.9409314955499743e-10,1.7388005026445433e-10
151,BGD,2903.0,2.1267642725867897e-11,1.815738967373162e-11
152,BGD,2905.0,9.989991826915662e-13,8.949621792362008e-13
153,BGD,2907.0,1.6073003053558908e-11,1.228078832461165e-11
155,BGD,2913.0,1.531935134096671e-11,1.3078996832517288e-11
156,BGD,2918.0,7.644488202426879e-11,5.3116551461636206e-11
157,BGD,2919.0,5.7048422997384565e-11,3.963921999361281e-11
158,IND,2511.0,3.0271967391300723e-11,2.711940747868484e-11
159,IND,2514.0,4.442326542675916e-11,3.979697193345481e-11
160,IND,2555.0,8.488381934482201e-11,7.24701183250517e-11
161,IND,2805.0,2.62425767375385e-10,2.3509642522952746e-10
162,IND,2903.0,2.4916014006961493e-11,2.1272210619293866e-11
163,IND,2905.0,2.8029216181132552e-11,2.5110219137680528e-11
164,IND,2907.0,1.179738671190035e-11,9.013947705332803e-12
166,IND,2913.0,2.27809402941844e-11,1.9449377412777673e-11
167,IND,2918.0,4.5329285297166814e-11,3.1496357263548026e-11
168,IND,2919.0,2.5480345262760385e-11,1.7704626321223186e-11
169,IRN,2511.0,3.2728240798279185e-11,2.931988155233388e-11
170,IRN,2514.0,3.706161598704257e-11,3.320197371975173e-11
171,IRN,2555.0,4.111339428178673e-11,3.5100830421426364e-11
172,IRN,2805.0,4.105684297066916e-10,3.678113285197062e-10
173,IRN,2903.0,3.737919316540719e-11,3.191273169021542e-11
174,IRN,2905.0,1.125281891040534e-11,1.0080936510351474e-11
175,IRN,2907.0,4.607611250351593e-11,3.520505673962277e-11
177,IRN,2913.0,5.572718281840305e-11,4.757744837523988e-11
178,IRN,2918.0,9.443582557336646e-11,6.56172821000282e-11
179,IRN,2919.0,6.399378191209607e-11,4.4465095898499274e-11
180,KAZ,2511.0,1.739169537478459e-11,1.468967361638029e-11
181,KAZ,2514.0,2.0665319280675362e-11,1.745469828384524e-11
182,KAZ,2555.0,2.4744644487447672e-11,2.094726033242545e-11
183,KAZ,2805.0,4.910222819803053e-10,4.1473570604960483e-10
184,KAZ,2903.0,5.3173790072596065e-11,4.501358765034733e-11
185,KAZ,2905.0,1.3311965440013808e-12,1.1243781775861465e-12
186,KAZ,2907.0,5.871717743799686e-12,4.824239234891216e-12
188,KAZ,2913.0,1.3516187353970663e-12,1.1441954453986327e-12
189,KAZ,2918.0,1.3042486788668673e-11,9.321712556035709e-12
190,KAZ,2919.0,6.806512710376613e-11,4.864743666082017e-11
191,KGZ,2511.0,2.7983819644355306e-11,2.363617624715452e-11
192,KGZ,2514.0,4.1009162577941346e-11,3.463786597966999e-11
193,KGZ,2805.0,1.0590143348948286e-09,8.944829471442929e-10
194,KGZ,2903.0,5.940502398249506e-11,5.0288558522089076e-11
195,KGZ,2905.0,1.6623124854429102e-11,1.404051033172648e-11
196,KGZ,2907.0,1.559156456079499e-11,1.281012486796618e-11
198,KGZ,2913.0,1.134220150140749e-10,9.601594709244332e-11
199,KGZ,2918.0,1.4586923740670532e-10,1.042555092373022e-10
200,KGZ,2919.0,2.97632315128537e-10,2.1272345787814788e-10
201,LKA,2514.0,8.45926720376954e-11,7.578308713956493e-11
202,LKA,2555.0,2.3827670367884017e-11,2.0343030088645733e-11
203,LKA,2805.0,2.3456014099969504e-10,2.1013275945376791e-10
204,LKA,2903.0,1.533158419154569e-10,1.3089440709050578e-10
205,LKA,2905.0,6.88532964169928e-10,6.1682829452297e-10
206,LKA,2907.0,2.4082977623063294e-11,1.8400914218062827e-11
