,ISO3,Supply-BaU2,Supply-HalfW2,Zinc - low (mg/day),Zinc - mod (mg/day),Zinc - high (mg/day),ZnL2030,ZnM2030,ZnH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
0,AFG,163811666969.83093,183907354377.31134,145384560809.96368,72593256117.8985,43067252377.27243,206212151622.9964,103008190020.24817,61347258091.30916,-91218410851.93243,-18427106159.86725,-120744414592.5585,-111314098259.41284,-38522793567.34766,-140840102000.0389,-60803476949.58276,42400484653.16547,-102464408878.52177,-80899164357.06317,22304797245.68506,-122560096286.00218
1,ALB,20405796707.14075,23916350797.220337,12858670240.410572,6427206793.038621,3853884157.8898377,12635163538.761053,6315366876.380526,3793373310.8240604,-13978589914.10213,-7547126466.730179,-16551912549.250914,-17489144004.181717,-11057680556.809765,-20062466639.330498,-14090429830.760225,-7770633168.379698,-16612423396.31669,-17600983920.839813,-11281187258.459284,-20122977486.39628
2,ARE,4465374087.700085,5290483756.507835,42814901183.11048,21397613081.13857,12817905298.449808,51562402761.577,25773570234.538498,15460454054.753363,16932238993.438484,38349527095.4104,8352531210.749723,16107129324.630733,37524417426.602646,7527421541.941973,21308196146.838413,47097028673.87692,10995079967.053278,20483086478.030663,46271919005.06917,10169970298.245527
3,ARG,723812966526.4264,858006895535.5,185729248258.67914,92800492935.83958,55521158119.40374,212250247633.37198,106067917038.18597,63545724410.845695,-631012473590.5868,-538083718267.74725,-668291808407.0227,-765206402599.6604,-672277647276.8208,-802485737416.0963,-617745049488.2405,-511562718893.05444,-660267242115.5807,-751938978497.314,-645756647902.128,-794461171124.6543
4,ARM,14609241504.722794,17447650830.66249,12384294449.280964,6188596741.890483,3713241875.9009557,12357971642.80402,6177712409.402009,3712213516.1213894,-8420644762.832311,-2224947055.4418297,-10895999628.821838,-11259054088.772007,-5063356381.381527,-13734408954.761536,-8431529095.320785,-2251269861.9187737,-10897027988.601404,-11269938421.260483,-5089679187.858471,-13735437314.541101
5,ATG,71042515.65567875,83438529.18468127,431504267.07142854,215627638.1190476,129076333.87142858,494420070.8974917,247082759.94874585,148155028.94777575,144585122.46336886,360461751.4157498,58033818.21574983,132189108.93436635,348065737.88674724,45637804.68674731,176040244.2930671,423377555.24181294,77112513.292097,163644230.76406458,410981541.7128104,64716499.763094485
6,AUS,160163292344.97302,252124585320.01,100384253864.4561,50166608133.64472,30094958552.353497,119929518672.89436,59940763214.447174,35969645034.98684,-109996684211.32831,-59779038480.51692,-130068333792.61952,-201957977186.3653,-151740331455.5539,-222029626767.65652,-100222529130.52585,-40233773672.07866,-124193647309.98618,-192183822105.56284,-132195066647.11565,-216154940285.02316
7,AUT,68494329450.174164,85010935623.65489,36441090907.96194,18214615955.98097,10949428269.421911,37349128015.54473,18668360376.522366,11222789869.43996,-50279713494.19319,-32053238542.212227,-57544901180.75225,-66796319667.67392,-48569844715.692955,-74061507354.23299,-49825969073.651794,-31145201434.629433,-57271539580.73421,-66342575247.13252,-47661807608.11016,-73788145754.21494
8,AZE,80272122224.95126,92121082421.4337,41385031691.90597,20674688120.536316,12368400479.621788,46673986209.37388,23330328697.436943,13993081033.108418,-59597434104.41495,-38887090533.045296,-67903721745.329475,-71446394300.89738,-50736050729.52773,-79752681941.81192,-56941793527.51432,-33598136015.577385,-66279041191.84285,-68790753723.99677,-45447096212.05982,-78128001388.32529
9,BDI,19764952353.344677,23909255727.53018,42990605962.67619,21451060169.421432,12700828137.152857,69156742888.70859,34527948446.354294,20494296553.05101,1686107816.0767555,23225653609.331516,-7064124216.19182,-2458195558.1087494,19081350235.14601,-11208427590.377325,14762996093.009617,49391790535.36391,729344199.7063332,10618692718.824112,45247487161.178406,-3414959174.4791718
10,BEN,58345611489.82063,65880683690.85736,45090232832.959114,22506934277.479557,13345443939.721066,68537437370.657104,34221652300.328545,20334732687.14281,-35838677212.34108,-13255378656.861519,-45000167550.09956,-43373749413.37781,-20790450857.898247,-52535239751.13629,-24123959189.49209,10191825880.836472,-38010878802.677826,-31659031390.528816,2656753679.7997437,-45545951003.714554
11,BFA,114299930840.33672,131017242596.45229,77018118583.86752,38439199539.0171,22768736260.17692,120206741964.62613,60017108433.56307,35632388001.380356,-75860731301.31961,-37281812256.46919,-91531194580.15979,-92578043057.43518,-53999124012.58476,-108248506336.27536,-54282822406.77364,5906811124.289413,-78667542838.95636,-71000134162.88922,-10810500631.826157,-95384854595.07193
12,BGD,597597135529.2422,664827867722.5873,706387315421.4264,352964290731.2965,210815436472.81125,812857902953.5688,406239179308.03436,243370768732.94125,-244632844797.94568,108790179892.1842,-386781699056.4309,-311863576991.2908,41559447698.83911,-454012431249.776,-191357956221.20782,215260767424.32666,-354226366796.3009,-258588688414.55292,148030035230.98157,-421457098989.646
13,BGR,20721256713.213776,57291711540.93513,30571940593.18411,15280646808.092052,9192100217.388565,27231209857.481934,13612174622.240965,8186876486.5346575,-5440609905.121723,9850683879.970333,-11529156495.82521,-42011064732.84308,-26719770947.75102,-48099611323.54656,-7109082090.972811,6509953144.268158,-12534380226.67912,-43679536918.69416,-30060501683.453194,-49104835054.40047
