,ISO3,Supply-BaU2,Zinc - mod (mg/day),ZnM2030,BaU_needed2030
0,AFG,163811666969.83093,72593256117.8985,103008190020.24817,-60803476949.58276
1,ALB,20405796707.14075,6427206793.038621,6315366876.380526,-14090429830.760225
2,ARE,4465374087.700085,21397613081.13857,25773570234.538498,21308196146.838413
3,ARG,723812966526.4264,92800492935.83958,106067917038.18597,-617745049488.2405
4,ARM,14609241504.722794,6188596741.890483,6177712409.402009,-8431529095.320785
5,ATG,71042515.65567875,215627638.1190476,247082759.94874585,176040244.2930671
6,AUS,160163292344.97302,50166608133.64472,59940763214.447174,-100222529130.52585
7,AUT,68494329450.174164,18214615955.98097,18668360376.522366,-49825969073.651794
8,AZE,80272122224.95126,20674688120.536316,23330328697.436943,-56941793527.51432
9,BDI,19764952353.344677,21451060169.421432,34527948446.354294,14762996093.009617
10,BEN,58345611489.82063,22506934277.479557,34221652300.328545,-24123959189.49209
11,BFA,114299930840.33672,38439199539.0171,60017108433.56307,-54282822406.77364
12,BGD,597597135529.2422,352964290731.2965,406239179308.03436,-191357956221.20782
13,BGR,20721256713.213776,15280646808.092052,13612174622.240965,-7109082090.972811
14,BHR,746722828.448237,3048407838.4432383,4612408386.124346,3865685557.676109
15,BHS,1434465801.1248798,834454622.4157143,953280178.5375673,-481185622.5873126
16,BIH,15442625959.69934,7690273343.330495,7208578097.361458,-8234047862.337883
17,BLR,93056546521.54697,20020457722.474026,19380365158.508335,-73676181363.03864
18,BLZ,1502420235.980854,778810173.9113332,1034689810.5266849,-467730425.45416915
19,BOL,61536348106.98788,23175334924.250957,28602160389.83214,-32934187717.155735
20,BRA,1394955335417.614,448209419360.52637,488031310511.33417,-906924024906.2798
21,BRB,1503253725.4914432,607076907.6546667,612601293.8200877,-890652431.6713555
22,BRN,1650163187.8676627,914891857.8952762,1079015092.5248265,-571148095.3428361
23,BTN,3200263703.7138968,1732901052.4720953,2015660625.6552083,-1184603078.0586884
24,BWA,3809981051.6823797,4773416770.936229,6165851164.726474,2355870113.044094
25,CAF,13868409685.2333,9922422198.810379,13350202921.782116,-518206763.4511833
26,CAN,294109866365.4124,75945431343.66978,85506065593.6521,-208603800771.7603
27,CHE,51602623995.92304,17383252349.542576,19253594537.95035,-32349029457.97269
28,CHL,123636558634.77199,38292507362.60096,42163853990.19496,-81472704644.57703
29,CIV,112582554397.22826,49664160725.98047,73135356462.27133,-39447197934.956924
30,CMR,115966459118.72668,48634246937.244514,72297958633.23822,-43668500485.488464
31,COD,128028715981.48235,160368230708.8635,263309959575.96207,135281243594.47972
32,COG,11844092358.199556,10616025393.85238,16034155198.017664,4190062839.8181076
33,COL,181712931909.72653,104937575764.2319,115298894055.88795,-66414037853.83858
34,COM,1748402882.9217393,1668853612.5144951,2336643160.08703,588240277.1652906
35,CPR,10642075988802.473,3043000709041.472,3153291114193.8765,-7488784874608.596
36,CPV,2797162397.6680827,1160121038.059543,1382705654.7720766,-1414456742.896006
37,CRI,20451211476.503643,10421751436.08813,11701286904.726664,-8749924571.77698
38,CUB,23583793283.5568,24610967486.166924,24314755021.561405,730961738.0046043
39,CYP,7188785933.818886,2496211585.3195243,2750493715.1069965,-4438292218.711889
40,CZE,86875155556.59251,22540530159.361084,22417046744.359657,-64458108812.23286
41,DEU,606842702526.1937,171361838236.66095,170694550369.45114,-436148152156.74255
42,DJI,481281874.09038836,2024932103.9517677,2491973007.3064303,2010691133.216042
43,DNK,60484458739.78731,12151671676.65302,12782207342.767384,-47702251397.01993
44,DZA,327811197561.164,84823043499.15181,107346466840.1786,-220464730720.9854
45,ECU,59634167314.57821,34842998937.776,42515844367.752426,-17118322946.825783
46,EGY,612833865693.3369,200672689769.34674,264536808657.19986,-348297057036.1371
47,ESP,363770136111.2334,97065669273.75114,94565207697.70822,-269204928413.52518
48,EST,8307652032.979258,2752157919.5431995,2619359646.6576266,-5688292386.3216305
49,ETH,635043408444.6328,215125367801.1395,306060283872.8484,-328983124571.7844
50,FIN,39063797598.55425,11566762322.557428,12064598478.307476,-26999199120.246777
51,FJI,2200335961.2738047,1957833249.5490665,2145321820.9919772,-55014140.28182745
52,FRA,553599679722.1091,134684046238.7192,140498926993.59067,-413100752728.51843
53,GAB,2682601458.1726727,4108257825.2671432,5717783137.473196,3035181679.3005233
54,GBR,442122815659.6386,137253378432.23402,148358549260.01144,-293764266399.6272
55,GEO,27050475996.552948,8494524612.103535,7998973094.606431,-19051502901.946518
56,GHA,105995768573.32076,59100096470.78168,82079834504.79489,-23915934068.525864
57,GIN,47876021530.34983,25926852572.8753,38685458266.34455,-9190563264.00528
58,GMB,8108949876.0029545,4183982397.071429,6565363876.83874,-1543585999.1642141
59,GRC,87347516669.40564,23561793444.174095,22200125598.58045,-65147391070.825195
60,GRD,611675904.5190043,232077195.5990895,244061429.52125275,-367614474.9977516
61,GTM,61239887746.07481,35055816980.3695,46201680714.1228,-15038207031.952003
62,GUY,2705334966.4786973,1701762093.3303618,1825366958.0114932,-879968008.4672041
63,HND,24795441917.49155,19482202335.763603,24311742851.12033,-483699066.37121964
64,HRV,26732323086.725132,9011282839.633186,8155883880.52698,-18576439206.19815
65,HUN,104893059125.19917,20856061826.495163,19517007073.223755,-85376052051.97542
66,IDN,1182480856159.7324,563399687364.6842,651312449859.2104,-531168406300.522
67,IND,5113732170007.301,2872676121503.2236,3333034804242.37,-1780697365764.9307
68,IRL,45562009788.72826,10066899316.914753,11203260866.222141,-34358748922.506115
69,IRN,618178188176.2091,171239365155.541,195013399091.6798,-423164789084.5293
70,ISL,5671765723.276027,704619739.82192,775117882.7508187,-4896647840.5252075
71,ISR,59011714503.78959,17040656284.658476,21465664414.318356,-37546050089.47124
72,ITA,480670332663.0795,123816499308.97002,118921688616.48108,-361748644046.59845
73,JAM,12809969775.449303,6268374527.132553,6294112600.719918,-6515857174.729384
74,JOR,38615337778.68278,19349526743.0937,24559101030.146996,-14056236748.535782
75,JPN,556567640410.3802,265259867835.7967,248016734991.61758,-308550905418.7627
76,KAZ,265560887336.8321,37502874335.3919,44504559124.8927,-221056328211.9394
77,KEN,181338668951.09393,101066917397.35513,146670707623.81583,-34667961327.27811
78,KGZ,36808619829.691475,12522991991.395712,15359526697.552404,-21449093132.13907
79,KHM,99117763861.943,33528751893.34904,41297223815.965576,-57820540045.97742
80,KIR,828661542.7007778,242001372.31168956,311829714.5786072,-516831828.12217057
81,KOR,327771968285.1348,109765025037.53818,112361532933.68047,-215410435351.45435
82,KWT,25027286312.424507,8456868767.766667,11037625875.975502,-13989660436.449005
83,LBN,29500339415.060986,12348640468.449049,11647038829.796242,-17853300585.264744
84,LBY,14092256615.191738,13661991953.760475,16159686174.06646,2067429558.8747215
85,LCA,587786007.3886399,385748184.9810057,398368581.8699315,-189417425.5187084
86,LKA,92513390207.60583,44998501029.837906,46496085992.27427,-46017304215.331566
87,LTU,23086950270.799564,6205109580.898184,5644123479.068365,-17442826791.7312
88,LVA,13583739096.953783,4206340277.002915,3646719778.7242618,-9937019318.22952
89,MAR,318663486820.908,75098344093.81038,89450624120.61172,-229212862700.2963
90,MDA,19540289596.70134,8763838942.326477,8212533931.096875,-11327755665.604465
91,MDG,60287667006.0506,51891166545.91716,77914753962.08998,17627086956.039383
92,MDV,1425971178.1237059,909178501.196505,1148453335.8257027,-277517842.2980032
93,MEX,710510521330.3075,272546045244.75186,320409143305.1718,-390101378025.1357
94,MKD,11600604598.945396,4529439081.609332,4494645117.959453,-7105959480.985944
95,MLI,120021123269.05562,36915136594.79876,59160174607.6405,-60860948661.415115
96,MLT,3171813225.729735,917857418.2881905,943435021.3187078,-2228378204.411027
97,MNG,18094239115.039295,6349142288.7004175,7860442477.642131,-10233796637.397163
98,MRT,10478646701.0327,8924450898.954762,13370823668.976131,2892176967.943432
99,MUS,7763471828.844714,2768627854.9017715,2777646835.4350395,-4985824993.409675
100,MWI,78067916971.29839,37378552131.503235,58115410947.78283,-19952506023.515556
101,MYS,121578768904.3726,67323371380.78225,81031183151.24648,-40547585753.12613
102,NAM,8757817278.496897,5203387029.829964,7123726045.766793,-1634091232.7301035
103,NER,151542199709.33456,41532065808.26381,76152302844.03401,-75389896865.30055
104,NGA,750377422197.6083,386589640921.0212,580485407707.4791,-169892014490.12915
105,NIC,21824756727.694263,13202544573.92238,15305580039.05457,-6519176688.639694
106,NLD,148370078358.31268,36175587979.62396,37120395899.98462,-111249682458.32806
107,NOR,26133796931.452053,10994603364.680885,12657885898.81646,-13475911032.635593
108,NPL,134567601029.86418,62868317139.67093,72622238938.20973,-61945362091.65445
109,NZL,41884375778.84002,9786722054.0471,11054568757.515512,-30829807021.32451
110,OMN,26239923344.445263,9028691569.21619,13626796287.361961,-12613127057.083302
111,PAK,924608051461.781,408966224175.2401,539265251641.6373,-385342799820.1437
112,PAN,14168312274.683966,8523006480.14305,10580074730.743504,-3588237543.940462
113,PER,174684955361.0896,67830311976.75799,80154961992.63596,-94529993368.45364
114,PHL,411813312845.0505,221256750041.51782,275763544037.7835,-136049768807.26697
115,PNG,24202077180.269962,17137193706.95256,23083861808.019314,-1118215372.2506485
116,POL,288652374887.1739,81502103604.22034,77032242823.49593,-211620132063.67798
117,PRT,78230498967.32118,21910352973.758335,20273181838.364204,-57957317128.95698
118,PRY,61394407059.39916,14488015800.311163,17173153738.541115,-44221253320.85805
119,QAT,757223582.1149507,5631723842.345134,7665183905.777856,6907960323.662905
120,ROU,133091380048.64764,42535746666.95204,39028460039.97167,-94062920008.67596
121,RUS,1445091856748.693,303735799859.5923,298485674297.17084,-1146606182451.5222
122,RWA,34899258648.54032,24809424894.002857,35073131503.10319,173872854.5628662
123,SAU,175732370542.03812,68998874981.70076,88806338943.0096,-86926031599.02852
124,SEN,77931261336.91992,31696479321.30143,48493784027.99046,-29437477308.92946
125,SGP,24942020426.59674,11881405115.368038,13582148241.41304,-11359872185.1837
126,SLB,3199121801.8848314,1270429128.2285714,1703900438.249005,-1495221363.6358263
